Agasiti 	KDDD 	1a 	z 		Agasiti KDDD z 1a . Iri izita romwedzi wechisere pamwedzi gumi nemiviri yegore. Nyamavhuvhu 1a .
nguwani 	DKK 	9>10 	z 		nguwani ngowani DKK z 9>10 . Nguwani chipfeko, chakarukwa kana chakasonwa, chemumusoro. heti 9 .
ngwaniwani 	D- 	9>10 	z 		ngwaniwani D- z 9>10 . njodzi 9 .
ngwanjai ngwanjai 	D- 		ny 		ngwanjai ngwanjai D- ny . Kuti ngwanjai ngwanjai kufamba kwemunhu asina simba.
ngwazi 	KD 	9>10 	z 		ngwazi KD z 9>10 . Ngwazi munhu akachenjera anoziva zvinhu zvakawanda.
ngwi 	K 		ny 		ngwi K ny . Kuti ngwi kurovera kwechinhu pane chimwe.
ngwiringwindi 	K- 		ny 		ngwiringwindi K- ny . Kuti ngwiringwindi kupinda mugomba kana mumwena nyore nyore. Dhadha rasvikoti ngwiringwindi mugomba randachera.
nhakari 	K- 	9 	z 		nhakari K- z 9 . nhakara 9 .
nhanhi 	DK 		ny 		nhanhi DK ny . Kuti nhanhi kuuruka uchibva pane rimwe dombo kuenda kune rimwe.
nhasi 	KD 		kanu 		nhasi KD kanu . Iri izwi rinoshandiswa nemunhu anenge achikanuka kana kuvhunduka chimwe chinhu chinenge changoerekana chaitika. Paakange opunza chirongo akabva adeedzera kuti, "Nhasi!".
nhavani 	D- 	9 	z 		nhavani D- z 9 . bazi 5 .
nhenderekedzi 	KKKKD 	9>10 	z 		nhenderekedzi KKKKD z 9>10 . tenderekedzi 5 .
nhengeni 	KKD 	9>10 	z 		nhengeni KKD z 9>10 . Nhengeni muchero unoberekwa nemuti unonzi munhengeni, unotsvuka kana waibva.
nhetamurari 	DDDKK 	9>10 	z 		nhetamurari DDDKK z 9>10 . Uyu munhu anorwara, ane ropa shoma, uye anotodziya moto kuti anzwe kudziyirwa.
nhevedzeri 	D- 	9>10 	z 		nhevedzeri D- z 9>10 . nhevedzi 9 .
nhevedzi 	D- 	9>10 	z 		nhevedzi D- z 9>10 . Nhevedzi mwana waamai vako akazvarwa kumashure kwako. mutevedzeri 9 .
nhi nhi nhi 	K- 				nhi nhi nhi K- . Kuti nhi nhi nhi kumhanya zvishoma kunoita munhu mupfupi mukobvu.
nhikiti 	K- 	9>10 	z 		nhikiti K- z 9>10 . mhodzi 9 .
nhimbanapasi 	KDKDK 	1a 	z 		nhimbanapasi KDKDK z 1a . Uyu munhu anofamba mitunhu yakawanda asi asina kwaakanyatsonanga.
nhimburamitimwi 	KKKDKD 	9 	z 		nhimburamitimwi KKKDKD z 9 . Iyi inyaya kana chiitiko chinotyisa. zimi 5 .
nhimbwitimbwi 	DKDD 	9 	z 		nhimbwitimbwi DKDD z 9 . Ichi chikafu chinenge chakaita mvuramvura.
nhindivadzi 	D- 	9 	z 		nhindivadzi D- z 9 . Uyu mushonga unozorwa unonyaradza marwadzo enyama yomuviri inenge ichirwadza.
nhingudzi 	KKD 	9 	z 		nhingudzi KKD z 9 . Nhingudzi idhiramhu diki.
nhinhinhi 	DKD 	9>10 	z 		nhinhinhi DKD z 9>10 . nhinhi9 .
nhiriri 	D- 	9>10 	z 		nhiriri D- z 9>10 . Nhiriri ikiti yemudondo inofamba usiku ichidya makonzo, mbeva, shiri nehuku. bonga 5 .
nhomi 	K- 	9>10 	z 		nhomi K- z 9>10 . mbavha 9 .
nhonhorodzi 	KKDK 	9>6 	z 		nhonhorodzi KKDK z 9>6 . Iri ivara rinosiyiwa nemvura painenge yadonhera. mhororodzi 5, mhorodzi 5 .
nhotamazwi 	KKDK 	9>10 	z 		nhotamazwi KKDK z 9>10 . Uyu munhu anoteerera zvinenge zvichitaurwa nevamwe vanhu, kuti azonoudza vanenge vamutuma.
nhunduruki 	KKKD 	9>10 	z 		nhunduruki KKKD z 9>10 . Uyu mukadzi anodanana nokumbogara nomurume akaroora, asi obva azviidza mukadzi womurume uyu chaiye.
nhungudzi 	KKD 	9>10 	z 		nhungudzi KKD z 9>10 . Nhungudzi ingoma inotanga kuridzwa panoridzwa ngoma dzakasiyana-siyana.
nhunzi matuzvi 	KK KDK 	9>10 	z 		nhunzi matuzvi KK KDK z 9>10 . Urwu rudzi rwenhudzi inonyanyoonekwa pane tsvina yevanhu kana mhuka.
nhunzvi 	D- 	9>10 	z 		nhunzvi D- z 9>10 . Nhunzvi ihuku kana mbudzi kana hwai yakambobereka.
nhurimuturi 	DKDDK 	9>10 	z 		nhurimuturi DKDDK z 9>10 . Izvi zvinhu zvakawanda zvinenge zvakadurikidzana. Varimi chaivo vanoonekwa nenhurimuturi dzemasaga ezvirimwa zvavo.
nhuzvi 	D- 	9>10 	z 		nhuzvi D- z 9>10 . nhunzvi 9 .
njai 	K- 		kanu 		njai K- kanu . Njai izwi rinoshandiswa pakuti munhu anzwisise zvinenge zvaitika kana kuti zvichinetsa. Njai, uri kuroverei mwana? nhai .
njakuvhizi 	D- 	9 	z 		njakuvhizi D- z 9 . Uyu munhu murombo asi asingabvumi rayiro ingaite kuti upenyu hwake huve nani.
njanjari 	KKD 	9 	z 		njanjari KKD z 9 . Njanjari pamusoro pechinhu panobaya nokuti panenge pasina kutsetseka.
njazi 	DK 	9 	z 		njazi DK z 9 . tsvuuramuromo 9 .
njeni 	D- 	9 	z 		njeni D- z 9 . Njeni chipfuyo chinenge chichiri chitsva mudanga mune dzimwe, sezviya zvakaita mombe ichangotengwa.
njiri 	D- 	9>10 	z 		njiri D- z 9>10 . Njiri inguruve yemusango ine mazino akachanjamara, anocheka kana kuruma.
njodzi 	D- 	9 	z 		njodzi D- z 9 . Njodzi idambudziko kana tsaona inenge yawira munhu kana vanhu. tsaona 9, ngozi 9 .
njongomani 	DKDD 	9>10 	z 		njongomani DKDD z 9>10 . Uyu munhu kana mhuka yakareba.
njori 	KD 	9 	z 		njori KD z 9 . Njori mutambo unotambwa nezvuma kana mari yemasirivha.
nokuti 	DKD 		bat 		nokuti DKD bat . Iri izwi rinoshandiswa kana munhu achida kupa chikonzero. Handiende kubasa svondo rino rose nokuti ndinorwara. nekuti .
nyadi 	DK 		ny 		nyadi nyodi DK ny . Kana zuva rati nyadi rinenge ranyura.
nyahosi 	DKD 	9>10 	z 		nyahosi DKD z 9>10 . Nyahosi murume ane vakadzi vaviri kana kupfuura.
nyakambudzi 	DDKK 	1a 	z 		nyakambudzi DDKK z 1a . Iri inhanga rine mhodzi tema, dzinobikwa kuita usavi.
nyakapi 	DDK 	9 	z 		nyakapi DDK z 9 . Nyakapi kumhorosana kunoratidza rudo pakati pevanhu vaviri.
nyakuti 	D- 	1a 	z 		nyakuti D- z 1a . nhingi 1a .
nyamamvi 	DDK 	1a 	z 		nyamamvi DDK z 1a . Nyamamvi munhu ane vhudzi rachena mumusoro. nyaimvi 1a .
nyamanzi 	KKD 	1a 	z 		nyamanzi KKD z 1a . nyamasi 1a .
nyamapfeni 	D- 	5/9 	z 		nyamapfeni D- z 5/9 . Iri igwenzi rinoshandiswa somushonga. muwanazvapora 3 .
nyamasi 	KKD 	1a 	z 		nyamasi KKD z 1a . nhasi 1a .
nyamharadzi 	D- 	9 	z 		nyamharadzi nyamharadzo D- z 9 . Aya makwenzi anoshandiswa kuti vanhu vanga vachiwirirana vavengane.
nyamini 	DKK 	1a 	z 		nyamini DKK z 1a . Nyamini masvosve madiki matema, anoruma. chikodza 7, chikuhuhu 7 .
nyamupidigori 	DDKKDK 	1a 	z 		nyamupidigori DDKKDK z 1a . mhindigari 9 .
nyamuputsahari 	DDKDKK 	1a 	z 		nyamuputsahari DDKDKK z 1a . ambuyamuderere 1a .
nyamusi 	KKD 	1a 	z 		nyamusi KKD z 1a . nhasi 1a .
nyamwi 	DK 		ny 		nyamwi nyamwe DK ny . Kuti nyamwi kusimuka nokukasika.
nyanduri 	DDK 				nyanduri DDK . Nyanduri munhu ane chipo chokugona kudetemba kana kutaura nekunyora ngano kana nyaya. Hamutyinei ndinyanduri ane mukurumbira munyika muno.
nyangi nyangi 	KD+ 		ny 		nyangi nyangi KD+ ny . Kuti nyangi nyangi kufamba kokunyahwaira kuti munhu asvike asina kunzwikwa. Chimangowe chinoti nyangi nyangi kana chaona makonzo.
nyanguri 	DDK 		bat 		nyanguri DDK bat . Izwi iri rinoshandiswa kuratidza kushamisika nenguva inenge yatorwa nemunhu kuita chinhu. Hausati wapedza nyanguri watanga kugeza. nguri, chinguri .
nyasinzi 	DKK 	9 	z 		nyasinzi DKK z 9 . matsi 9 .
nyeredzi 	KDK 	9>10 	z 		nyeredzi KDK z 9>10 . nyenyedzi 9 .
nyi 	K 		ny 		nyi K ny . Kuti nyi kuisa chinhu mune chimwe chakaita mvura mvura.
nyimbiri nyimbiri 	KDD+ 		ny 		nyimbiri nyimbiri KDD+ ny . Kuti nyimbiri nyimbiri kutamba kunoita vanhu kana mhuka kana zvakafara.
nyiminyimi 	DKDD 	9>10 	z 		nyiminyimi DKDD z 9>10 . Urwu rudzi rwemanwiwa anofarirwa nemombe.
nyindi 	K- 		ny 		nyindi K- ny . Kuti nyindi kupedza chikafu chose, kana kudya chikafu chakawanda zvokutosvika pakuzvimbirwa.
nyiri nyiri 	K- 		ny 		nyiri nyiri K- ny . Kuti nyiri nyiri kutaima kwezuva rinenge richipisa asi rakasangana neuma, zvokuti haunyatsoona kure.
nyobi nyobi 	DK+ 		ny 		nyobi nyobi DK+ ny . Kuti nyobi nyobi kudyira kunenge kuchiita hove kana uchiredza nechirauro.
nyochi 	KD 		ny 		nyochi KD ny . Kuti nyochi kumedza musuva mukuru wesadza. kashu .
nyoka rukuni 	KK DKK 	9 	z 		nyoka rukuni KK DKK z 9 . Iyi inyoka inofarira kugara pamatavi emiti.
nyuchi 	K- 	9 	z 		nyuchi K- z 9 . Nyuchi kapuka kanogadzira uchi, kanoruma kachiita zvokundurira, uye kakada kufanana nego.
-nzai 	K 				-nzai K itik . -dai .
nzi-i 	K 		ny 		nzi-i K ny . Kuti nzi-i ruzha runoitwa nezvipembenene zvakaita senyuchi, kana zvichibhururuka.
nzvai 	KD 		ny 		nzvai KD ny . Kuti nzvai kunyura kwechinhu mumvura. Kuti nzvai kuparwa kwemunhu nechinhu chinokuvadza.
nzvi-i 	K/D 		ny 		nzvi-i K/D ny . Kana chinhu chakati nzvi-i chinenge chakasviba chaizvo.
nzvinzvi-i 	KD 		ny 		nzvinzvi-i KD ny . Kuti nzvinzvi-i kusviba zvikuru kwemunhu, mhuka, kunze kana mudziyo.
nzvori 	D- 	9>10 	z 		nzvori D- z 9>10 . Nzvori munhu anongonzvenga pese panenge pachiitwa basa nevamwe.
nzwizi 	DK 	10 	z 		nzwizi nzizi DK z 10 . rwizi 11 .
oti 	KD 		kanu 		oti KD kanu . Oti izwi rinoshandiswa kutaridza kuti pamwe ndizvozvo. doti .
pai 	KD 		ny 		pai KD ny . Kana chinhu chati pai chinenge chabatirira mudenga, mungava mumuti, icho changa chichifungirwa kuti chichadzika pasi.
pakati 	DDK 	16 	z 		pakati DDK z 16 . Kana chinhu chiri pakati panenge pane mitunhu yakaenzana kubva pachiri kuenda kumapeto. Pakati inzvimbo iri mukati mezvinhu kana kuti yakatenderedzwa nechimwe chinhu.
pamuviri 	D- 	16 	z 		pamuviri D- z 16 . Munhukadzi anonzi ava na pamuviri kana ane mwana mudumbu asi asati azvarwa. mimba 9 .
papfupi 	DKD 		pr 		papfupi DKD pr . Tinoshandisa papfupi kuratidza kuti hapana mutunhu murefu kubva panzvimbo iri kutaurwa nezvayo. Patiri kuenda papfupi chaizvo. Kana uchitaura ne papfupi , unenge uchiita zvokudimbudzira usingawanzi mazwi.
paredhi 	DKD 	9 	z 		paredhi DKD z 9 . Paredhi kumira kana kumacha kwamasoja kana magadhi vari mumitsara, vasati vatanga basa kana kuti pazuva rakunenge kuine chiitiko chinoenderana nemabasa avo.
pasi 	DK 	16/5 	z 		pasi DK z 16/5 . Pasi inzvimbo inosanganisira nyika nenyanza dzose nevanhu vanogaramo. Pasi ivhu ratinotsika kana tichifamba kana kurima, uye ndipowo panomera miti nebundo. Pasi izwi rinoshandiswa kuratidza marongerwo akaitwa zvinhu, chimwe chiri pamusoro.
pati 	D- 		ny 		pati D- ny . Kuti pati kumuka nokukasika.
paundi 	KDD 	9 	z 		paundi KDD z 9 . Paundi imari yaishandiswa kare, yakanga yakaenzana nemadhora maviri. pondo 9 . Paundi uremu hwakaenzana nemaaunzi gumi namatanhatu.
peji 	KD 	5 	z 		peji KD z 5 . Peji idivi rimwe repepa, ringava remubhuku kana riri roga.
pendi 	KD 	9>10 	z 		pendi KD z 9>10 . Pendi ndiyo inoshandiswa kuzora kana kunyika chinhu kuti chisanduke ruvara.
penjeni 	KDD 	9>10 	z 		penjeni KDD z 9>10 . Penjeni imari inopiwa munhu mwedzi woga woga, mushure mokunge ashanda makore akawanda pabasa, ozorega nokukura. mudyandigere 3 .
pfari 	DK 	10 	z 		pfari DK z 10 . tsviyo 10 .
pfavi 	DK 	9 	z 		pfavi pfari DK z 9 . tsviyo 10 .
pfi pfi 	K- 		ny 		pfi pfi K- ny . Kana vanhu vachiti pfi pfi vanenge vachiseka asi vachiedza kuvharidzira kuseka kwavo.
pfiki pfiki 	D- 		ny 		pfiki pfiki D- ny . Kuzviti pfiki pfiki kuzviisa pakahwandika.
pfimbi 	K 	9>10 	z 		pfimbi fimbi K z 9>10 . Pfimbi inzvimbo iri muvhu inocherwa kuitira kuchengetedza chikafu chakavigika.
pfiripfiti 	K 	9 	z 		pfiripfiti K z 9 . Pfiripfiti rudzi rwehwohwa hwakatsvukuruka, uye rune madzinde madoko.
pfizi 	DK 	9 	z 		pfizi DK z 9 . Phizi mweya unonhuwa unobuda nekumashure kwemunhu. musudzo 3, rusudzo 11 .
pfudzi 	KD 	5 	z 		pfudzi fudzi KD z 5 . Pfudzi inhengo yomuviri iri pakati pehuro nepanogumira ruoko.
pfukurindi 	K- 	5 	z 		pfukurindi K- z 5 . Pfukurindi ibwe rine mamaran'azha risina kutsetseka.
pfumbi 	DK 	9 	z 		pfumbi DK z 9 . Pfumbi ivhu rinenge rakatsetseka, rinofambiswa nemhepo kana chamupupuri richiita tsvina panhumbi, fenicha, kana motokari inenge yafamba nemugwagwa usina tara. guruva 5, huruva 9 .
pfumbwi 	DK 	9 	z 		pfumbwi DK z 9 . Pfumbwi inzvimbo inenge yakatsi-tsikwa nevanhu vachidzana, kana kuti mombe dzinenge dzichirwa.
pfundipfundi 	DKDD 	9>10 	z 		pfundipfundi DKDD z 9>10 . Pfundipfundi kufunga kune kushora, kutsamwa nokusaregerera pane zvaunenge waitirwa.
pfunzi 	K- 	9>10 	z 		pfunzi K- z 9>10 . Pfunzi munhu anofurira vamwe kuita zvinhu zvisina kunaka, zvinosungisa kana kumhurisa.
pfuriri 	KKD 	9>10 	z 		pfuriri KKD z 9>10 . Pfuriri munhu anopa vamwe mazano akaipa, anoda kuti vaite zvinhu zvisizvo vozopinda mumatambudziko. mufuriri 1 .
pfurumutsi 	KKKD 	9>10 	z 		pfurumutsi KKKD z 9>10 . Uyu munhu anokanganisa vanhu vanenge vari murugare nemashoko kana zviito zvake.
pfusi 	K- 	9>10 	z 		pfusi K- z 9>10 . Pfusi munhu anogara achivhirigidzana nevamwe zvokuti vanhu havafari kutamba kana kugara naye. munetsi 1 .
pfuti 	D- 	9>10 	z 		pfuti D- z 9>10 . Pfuti chombo chinopfura nemabara, chinoshandiswa pakuvhimisa kana muhondo, uye pakuzvidzivirira kumbavha nevavengi.
pfutseki 	D- 		kanu 		pfutseki D- kanu . Iri izwi rekutuka rinoshandiswa pavanhu zvese nepamhuka. futseki .
pfutsi 	K 	9>10 	z 		pfutsi K z 9>10 . Pfutsi munhu anogara achiitira vamwe zvakashata nokuvatambudza.
pi-i 	K 		ny 		pi-i K ny . Kuti pi-i kuridza bhera kunoita bhazi, mudhudhudhu kana motokari.
pigi 	DK 		ny 		pigi DK ny . Kuti pigi mutsindo unoitwa nebhiza nemakumbo aro kana richitsika pasi.
pikiriki 	KDDD 	9>10 	z 		pikiriki KDDD z 9>10 . pikiniki 9 .
pindimbi 	K- 		ny 		pindimbi K- ny . Kuti pindimbi kuramba kuya kwekusadzokera kumashure. Kuti pindimbi kurebesa rwendo nokuenda nekure.
pingi 	KD 	1a/9 	z 		pingi KD z 1a/9 . Pingi ruvara rwuri pakati petsvuku nechena.
pinini 	K- 		ny 		pinini K- ny . Kuti pinini kuzungunuka kunoita chinhu chakaita sepfumo kana rabaya mhuka. Kuti pinini kumira kunoita sikarudzi yomurume kana afunga kurara nomukadzi.
pipi 	K- 	5 	z 		pipi K- z 5 . Pipi chiitiko chinoshamisa. Chatindo anokwanisa kuita mapipi akasiyana nomushonga waakanotenga kuPutukezi. saramusi 5 .
pipiri pipiri 	D- 		ny 		pipiri pipiri D- ny . Kuti pipiri pipiri kutatarika uchitsvaka nzira dzokuti uzvisunungure ugotiza, sezvingaita mhuka yabatwa gumbo netambo.
piri 	DK 	1a/9 	z 		piri DK z 1a/9 . Piri inhamba inouya pakati peyekutanga motsi na tatu panenge pachiverengwa zvinhu.
pirimbindi 	K- 	5 	z 		pirimbindi K- z 5 . Pirimbindi inzvimbo ine mawere anotyisa pagomo. biripiti 5 .
piritsi 	KDD 	5 	z 		piritsi KDD z 5 . Piritsi itsanga imwe chete yomushonga unomwiwa nemvura kana kutsengwa. Ma piritsi mushonga unomwiwa nemadzimai kuti vasaita pamuviri, kana kuti pakuronga mhuri.
piriviri 	KDDD 				piriviri KDDD . Kuti piriviri kutsvuka zvakanyanya.
pirokesi 	KDDD 	9>10 	z 		pirokesi KDDD z 9>10 . Iyi ihomwe inopfekedzwa kunze kwepiro.
piti piti 	D- 		ny 		piti piti D- ny . pitipiti .
pombi 	DK 	9 	z 		pombi DK z 9 . Pombi isimbi kana chimwe chinhu chine mwena pakati, chinoshandiswa kukweva mvura kubva pasi, kana kuvhutira mweya muvhiri.
ponzi 	KD 	9 	z 		ponzi KD z 9 . Ponzi rudzi rwemafuta ekuzora kumeso, anopfavisa ganda remunhu.
popi 	DK 	9 	z 		popi DK z 9 . Popi rudzi rwembwa isingarebi.
poriji 	KDD 	5 	z 		poriji KDD z 5 . Poriji chidyo chinobikwa sesadza asi chisina kuzokora sesadza, chinowanzodyiwa nepwere. bota 5 .
poshi 	DK 	1a/9 	z 		poshi posi DK z 1a/9 . Poshi inhamba yokutanga pakuverenga, inoteverwa na piri . potsi 1a/9, motsi 11a/9 .
pureti 	DKD 	9>10 	z 		pureti DKD z 9>10 . ndiro 9 .
ragi 	KD 	5 	z 		ragi raga KD z 5 . Ragi igumbeze rinorema rine mbikiza kumipendero yaro.
raini 	K- 	5 	z 		raini K- z 5 . Raini musha wakavakwa une dzimba dzakawanda dzinotevedzana.
raiti 	KDD 		kanu 		raiti KDD kanu . Kuti raiti kuratidza kuti zviri kutaurwa kana kuitwa ndizvozvo.
raiti 	KDD 	5 	z 		raiti KDD z 5 . mwenje 3 .
raki 	KD 	5 	z 		raki KD z 5 . mhanza 9 .
rambi 	KD 	5 	z 		rambi KD z 5 . mwenje 5 .
ranjisi 	KDD 	5 	z 		ranjisi KDD z 5 . Ranjisi muchero wakatsvukuruka, une mbai mukati dzine muto unotapira.
raundi 	KDD 		pr 		raundi KDD pr . Imba ye raundi imba inovakwa yakaita denderedzi.
ravhatiri 	KDDD 	9 	z 		ravhatiri KDDD z 9 . chimbuzi 7 .
rei 	KD 	5 	z 		rei KD z 5 . Rei mudziyo wakaomarara, wainyorerwa navana vechikoro kare vasati voshandisa mabhuku.
rekodhi 	KDD 	5 	z 		rekodhi KDD z 5 . Rekodhi idendenedzwa rakadhindirwa mimhanzi, rinoti rikatenderedzwa mumhanzi wacho wonzikwa. Rekodhi rumbo rwakatapwa mazwi nemhanzi padenderedzwa kana patepu kuti muzopota muchiridza.
remani 	KDD 	5 	z 		remani KDD z 5 . ndimu 5 .
repi 	KD 	9 	z 		repi repu KD z 9 . Repi muriwo unorimwa usinganyanyi kureba, asi uchiita mashizha akawanda.
rezenisi 	KDDD 	5/9>10 	z 		rezenisi rezenesi KDDD z 5/9>10 . Iri igwaro raunopihwa nehurumende, rinokupa mvumo yekuve nemidziyo kana kuita zvimwe zvakasiyana-siyana. Manuwere akatora rezenisi rekutyaira mota svondo rakapera. chitupa 7 .
riini 	KDK 		bvunz 		riini KDK bvunz . rini .
ringitingi 	KDKD 	5 	z 		ringitingi KDKD z 5 . Uyu munhu anenge akapusa zvikuru.
rini 	KD 		bvunz 		rini rinhi KD bvunz . Tinoshandisa rini pamubvunzo wokuda kuziva musi, zuva kana nguva ingaitwa kana kuti yakaitwa zvinhu. riini .
ririri 	D- 		ny 		ririri D- ny . Kuti ririri ruzha rwokufara kana kupemberera, runowanzoitwa navanhukadzi vakawanda.
ririri 	KDD 		ny 		ririri KDD ny . Kana munhu achiti ririri anenge achiita ruzha rwokutsvaka rubatsiro, mushure mokunge awirwa nenjodzi.
risi 	KD 	9>10 	z 		risi KD z 9>10 . Risi imvumo yokushandisa imba kana nzvimbo kwenguva yakatariranwa pasi.
rivhi 	KD 	5/9>10 	z 		rivhi KD z 5/9>10 . Rivhi mazuva aunotora kuti umborega basa, uchizorora.
robhoti 	KDD 	5 	z 		robhoti KDD z 5 . Robhoti magetsi anopfuta zvinopa majana ekufamba kwevanhu nezvinofamba nemavhiri, semotokari nemabhazi, panopesana migwagwa mumadhorobha.
rotari 	KDD 	9>10 	z 		rotari KDD z 9>10 . Rotari mutambo wemari, waunofembera urongwa hwemanhamba kuti ugohwina mubairo wemari zhinji.
rudididi 	D- 	11 	z 		rudididi D- z 11 . Iyi itsika yekuramba uchingoenda kune imwe nzvimbo nguva zhinji. Uku kushayikwa kwechokunwa vanhu vachichida.
rudyi 	DK 	11 	z 		rudyi DK z 11 . Rudyi ruoko rusiri ruboshwe, runodyisa sadza pachivanhu. ANTONYMS ruboshwe 11.
rufimbi 	D- 	11 	z 		rufimbi D- z 11 . Rufimbi mushonga unoshandiswa nembavha kuti ibudirire mubasa rayo rokuba. Rufimbi mushonga unoitisa munhu chiveve kana kumbomukotsirisa, kuti kana munhu ozoitwa oparesheni asarwadziwa.
rukunzvikunzvi 	D- 	11 	z 		rukunzvikunzvi D- z 11 . rubvunzavaeni 11 .
runji 	DK 	11 	z 		runji DK z 11 . Runji itsono inenge yakanaka chaizvo.
rurindi 	DDK 	11 	z 		rurindi DDK z 11 . Rurindi chirwere chokukosora, munhu achisvipa ropa achiperezeka muviri.
rutaitai 	D- 	11 	z 		rutaitai D- z 11 . Uku kungaima-ngaima kwechinhu chinenge chichipenya, chakaita semagirazi kana chiringiriro.
rutapatsikidzi 	DKKDKD 	11 	z 		rutapatsikidzi DKKDKD z 11 . Aka kamuti kanoshandiswa kubata tsikidzi, kanowanzowanikwa munzvimbo dzakakwirira.
rutivi 	D- 	11>6 	z 		rutivi D- z 11>6 . Rutivi inhengo yemuviri yekurudyi kana kuruboshwe.
rutivi 	D- 	11>6 	z 		rutivi D- z 11>6 . Rutivi ibato kana boka rakarerekerwa nemunhu.
ruvhesi 	DKD 	11 	z 		ruvhesi DKD z 11 . Ruvhesi kuchaira mota ichidzokera kumashure.
rwizi 	DK 	11>10 	z 		rwizi DK z 11>10 . Rwizi mukana unoerera nawo nemvura kubva kwayanaya yava kuenda kugungwa. rukova 11 .
rwodzi 	DK 	11 	z 		rwodzi rwonzi DK z 11 . gavi 5 .
safuri 	DKD 	9 	z 		safuri DKD z 9 . Safuri chishongo chendarira chinopfekwa mugumbo.
sai 	D- 		ny 		sai D- ny . Kuti sai kuregera kuchengetedza zvinhu zvawanga wakachengeta. Akati n'ombe sai, dzikadya mumunda mavanhu. suku .
saidhibhodhi 	KDDDD 	5 	z 		saidhibhodhi saibhodhi KDDDD z 5 . Uyu mudziyo une makona, unochengeterwa midziyo yokubikira.
saireji 	KDDD 	9>10 	z 		saireji KDDD z 9>10 . Uku kudya kunopiwa zvipfuwo, kunogadzirwa nemajanga echibage chisati chaibva.
sambasi 	DDK 	9>10 	z 		sambasi DDK z 9>10 . tsambatsi 9 .
sami 	DK 	1a 	z 		sami DK z 1a . Mu sami munhu werudzi rwevanhu vakabva kuAsia. Mukura 1a .
sangweji 	KDDD 	9>10 	z 		sangweji KDDD z 9>10 . Ichi chingwa chakachekwa chikaiswa nyama kana zvimwewo pakati.
sapamberi 	K- 	1a 	z 		sapamberi K- z 1a . Uyu munhu anotungamira vamwe kusvika panzvimbo.
sapuritendendi 	KDDKDD 	1a 	z 		sapuritendendi supuritendendi KDDKDD z 1a . Uyu ndiye munhu mukurumukuru anogamuchira nokunyora mari dzemitero yedzimba nezvimwewo muguta. Uyu munhu mukurumukuru anoona nezvikufamba zvakanaka kwebasa panzvimbo kana pefumu.
saramusi 	D- 	5 	z 		saramusi D- z 5 . Ichi chiitiko chinoshamisa, chisina tsananguro iri pachena.
Saravhishoni 	DDKDD 	1a 	z 		Saravhishoni DDKDD z 1a . Iri nderimwe remasangano echechi dzechiKristu.
sarumai 	K- 	1a 	z 		sarumai K- z 1a . Ava ndimai vambuya.
sauti 	KDD 	9 	z 		sauti KDD z 9 . munyu 9 .
sawi 	DK 	5 	z 		sawi DK z 5 . shawi 5 .
sei 	KD 		bvunz 		sei KD bvunz . Sei izwi rinoshandiswa kubvunza mumwe, kuti akutsanangurire mafambiro ezvinhu. Mai vakati sei usina kuzobikira vana sadza?
sendenisi 	KDDD 	9>10 	z 		sendenisi setenisi KDDD z 9>10 . Uyu mutsetsa wamashoko une muiti, chiito nemuitirwi. Ichi chirevo chizere.
sendi 	KD 	5 	z 		sendi KD z 5 . Sendi imari duku yokutangisisa.
senzi 	DK 	9>10 	z 		senzi DK z 9>10 . tsenzi 9 .
sezvinonzi 	KDKD 		bat 		sezvinonzi KDKD bat . Iri izwi rinoreva kuti zvakada kufanana. Haana kungwara, asi anoita sezvinonzi akangwara.
shambakodzi 	DDKD 	9>10 	z 		shambakodzi DDKD z 9>10 . Iyi ihari inobikirwa sadza. tsaiya 9, mukate 3 .
shangwiti 	DKK 	9 	z 		shangwiti DKK z 9 . shasha 9 .
shati 	KD 	9>10 	z 		shati KD z 9>10 . Shati chipfeko chinotangira pamafudzi chichidzira kuchiuno. hembe 9, sheti 9 .
shavi 	DK 	5 	z 		shavi shave DK z 5 . Shavi mweya wakaipa unogara pamunhu.
shavishavi 	D- 	5 	z 		shavishavi D- z 5 . shaveshave 5 .
shawi 	DK 	5 	z 		shawi DK z 5 . Shawi uswa hwakasvibirira, hwakasimba uye hwakada kufanana norukweza, huchiita midzi inodzika pasi chaizvo. sawi 5 .
shereni 	KDD 	5 	z 		shereni KDD z 5 . Shereni imari ine masenzi gumi.
sheri 	DK 	9 	z 		sheri DK z 9 . Sheri musikana waunoda, anenge akachena.
shi 	D 		ny 		shi D ny . Kuti shi karuzha kanoitwa nenyoka huru, ichifamba kana kuti yashatirwa.
shindi 	K- 	9>10 	z 		shindi K- z 9>10 . Shindi kamhuka kakakura kudarika mbeva, kane zimuswe, kanogara mugomo uye kanofarira kudya matobwe. tsindi 9 .
shiri 	D- 	9>10 	z 		shiri D- z 9>10 . Shiri imhuka ine minhenga nemapapiro, inogona kubhururuka kazhinji kacho.
shiripiti 	D- 	5 	z 		shiripiti D- z 5 . saramusi 5 .
shokorupani 	DKDKD 	9 	z 		shokorupani DKDKD z 9 . Ichi chinyavada chikuru kudarika zvimwe zvose, chinogara pasi pamabwe.
shoti 	DK 	1a 	z 		shoti DK z 1a . Shoti munhu akapfupika zvakanyanya.
shukukuviri 	K- 	9>10 	z 		shukukuviri K- z 9>10 . tsukukuviri 9 .
