ba 	D 		ny 		ba D ny . Kuti ba kukaruka waona zvawanga usingafungiri. Pandakangoti ba kuona bhinya, ndakamhanya kunge ndichadambura gumbo.
nanai nanai 	KKD+ 		ny 		nanai nanai KKD+ ny . Kuti nanai nanai kufamba kwemunhu akaneta kana anorwara.
nanau 	D- 		ny 		nanau D- ny . Kuti nanau kutsva kunoita chinhu chakaita sepepa kana ndiro yepurasitiki, inotsva ichikombamira uye ichidonhedza zvinhu zvinenge namo.
nanavi 	D- 		ny 		nanavi D- ny . Kuti nanavi kutambanudzira ruoko kune chimwe chinhu.
nanga nanga 	KD+ 		ny 		nanga nanga KD+ ny . Kuti nanga nanga kuzvitsigisa pakufamba kuti urege kuwa. Paakange adhakwa, akanga ofamba achiti nanga nanga achiitira kuti arege kuwira pasi.
nangu 	D- 		ny 		nangu D- ny . Kuti nangu kutorera kana kubvutira munhu chaanenge akabata.
nava nava 	D- 		ny 		nava nava D- ny . Kuti nava nava kunyorova zvakanyanya sezvinoita munhu anenge anayiwa nemvura. tapa tapa .
nda nda nda 	D- 		ny 		nda nda nda D- ny . Kuti nda nda nda kuvepo kwezvinhu zvakawanda.
ndandanda 	D- 		ny 		ndandanda D- ny . Kuti ndandanda kuvepo kwevanhu kana zvinhu zvakawanda.
ndanya ndanya 	KD+ 		ny 		ndanya ndanya KD+ ny . Kuti ndanya ndanya kufamba munhu achiita nhambwe refu, achiratidza kuzvikudza.
ndarazu 	KKD 		ny 		ndarazu KKD ny . Kuti ndarazu kutetepa kwemuviri kwemunhu ambenge akafuta.
nde-e 	K- 		ny 		nde-e K- ny . Kuti nde-e kutarisa pachinhu chimwe kwenguva refu chaizvo.
ndenderere 	K- 		ny 		ndenderere K- ny . ndendere ndendere .
nderendere 	DKDK 		ny 		nderendere DKDK ny . Kuti nderendere kufamba uri mumashure memunhu kana chimwewo chifambiso, asi usiri kuchiteverera. nderere .
nderu 	KD 		ny 		nderu KD ny . Kuti nderu kumhanya uchikasira panzvimbo ine materu.
ndindo-o 	KD 		ny 		ndindo-o KD ny . Kana kunze kwakati ndindo-o kunenge kwakasviba zvekuti kana zvinhu zviri pedyo hazvioneki.
ndo 	K- 		ny 		ndo K- ny . Kuti ndo kutsikirirwa nechinhu chawakatakura. Ndakanzi ndo nesvinga rehuni randaive ndakatakura.
ndondo-ondo 	D- 		ny 		ndondo-ondo D- ny . Kuti ndondo-ondo kunyura mudhaka kana kuenda zvekusaoneka.
ndonye 	D- 		ny 		ndonye D- ny . Kuti ndonye kuzadza chikafu mumukanwa usina hanya nekuti uri kudya sei. Kuti ndonye kuchonya kunoita munhu ziso achikasika.
ndori 	D- 		ny 		ndori D- ny . Kuti ndori kugutsurira nemusoro kwemunhu anenge ane hope.
ndowe 	D- 		ny 		ndowe D- ny . ndonye .
ndundumwa 	KKD 		ny 		ndundumwa KKD ny . Kuti ndundumwa kutsamwa pakarepo, pamusana pekukanganisirwa. fundumwa .
ndunduru ndunduru 	KKD+ 		ny 		ndunduru ndunduru KKD+ ny . Kuti ndunduru ndunduru munhu kumudhonza zvenharo iye asingadi.
ndure 	D- 		ny 		ndure D- ny . Kuti ndure kuruma kunoita nyuchi kana igo. Kuti ndure kudonha kunoita vanhu vaviri kana vakawanda panguva imwe.
ndute 	D- 		ny 		ndute D- ny . Kuti ndute kuruma munhu kana mhuka zvirorwadza. Akasvikoti ndute kuruma dama repfambi yaifamba nemurume wake.
ndwa 	K 		ny 		ndwa K ny . Kuti ndwa kunyura nokukasika, sezvinoita chitube chechirauro kana hove yabatwa.
ndwe 	K 		ny 		ndwe K ny . Kuti ndwe kubaya nemuseve wakagomara kana kuti une chumusoro chedanda.
ndwi 	K 		ny 		ndwi K ny . Kuti ndwi kutswinya zvinyoronyoro asi zvichirwadza.
neka neka 	KD+ 		ny 		neka neka KD+ ny . shena shena .
neku neku 	KD KD 		ny 		neku neku KD KD ny . Uku kufamba kunoita munhu achikwira nekudzika zvisina chinangwa.
nenga nenga 	KD+ 		ny 		nenga nenga KD+ ny . Kuti nenga nenga kufamba uri pakakwirira, uchiratidza kutya kudonha.
nengema 	KKD 		ny 		nengema KKD ny . Kuti nengema kuve kana kugara pakakwirira.
nengete 	K- 		ny 		nengete K- ny . Kuti nengete kuneta kunoita munhu.
nepfu 	D- 		ny 		nepfu D- ny . Kuti nepfu kumeduka kunoita chinhu chisina kuomarara, sechingwa kana keke. mepfu .
ngandu 	D- 		ny 		ngandu D- ny . Kuti ngandu kubvira kwemurazvu mukuru wemoto nokukasika.
nganga 	K- 		ny 		nganga K- ny . Kuti nganga kusunga chinhu zvekuti chinosimba chaizvo.
ngapa 	D- 		ny 		ngapa D- ny . katsva .
ngara 	KD 		ny 		ngara KD ny . Kuti ngara kuumburuka pasi kwemunhu kana mhuka.
ngendye 	DK 		ny 		ngendye ngenje DK ny . Kuti ngendye ruzha rwunoitwa nekiyi paunenge uchikiya. keche .
ngenje 	DK 		ny 		ngenje DK ny . ngendye .
ngindi ngindi 	K- 		ny 		ngindi ngindi K- ny . Kuti ngindi ngindi kuridza ngoma ichiburitsa ruzha runoenderana nemazwi iwawa.
ngocho ngocho 	DK+ 		ny 		ngocho ngocho DK+ ny . Kuti ngocho ngocho kufamba kwemhuka ine mahwanda anenge achiita ruzha.
ngodo 	KD 		ny 		ngodo KD ny . Kuti ngodo kurova musoro nechinhu chaunenge wapotsera.
ngonda 	D- 		ny 		ngonda D- ny . Ku ngonda kuda kudonha kwemuti, bundo, chirimwa kana ruva, nokuda kwekuti zvinenge zvadyiwa hunde nemakonye.
ngondomu 	KKD 		ny 		ngondomu KKD ny . ngondo .
ngonjoro 	K- 		ny 		ngonjoro K- ny . Kuti ngonjoro kurira sezvinoita dombo rinenge richikuchukudzwa riri mugaba.
ngundu 	K- 		ny 		ngundu K- ny . Kuti ngundu kutinhira sezvinoitika kana koda kunaya.
ngururu ngururu 	K- 		ny 		ngururu ngururu K- ny . ngiriri ngiriri .
nguruzeze 	D- 		ny 		nguruzeze D- ny . Kuti nguruzeze kurembera nokuda kwekurwara kana kuneta.
nguwa nguwa 	D- 		ny 		nguwa nguwa D- ny . Kuti nguwa nguwa kufamba zvekuratidza kuti hausi kuziva kwauri kuda kuenda.
nguyu 	DK 		ny 		nguyu DK ny . Kana munhu akati nguyu mukanwa, anenge asina kana nezino rimwe zvaro.
ngwamu 	KD 		ny 		ngwamu KD ny . Kuti ngwamu kurova munhu kumeso kana mumusoro.
ngwanja ngwanja 	D- 		ny 		ngwanja ngwanja D- ny . Kuti ngwanja ngwanja ruzha runoitwa nesimbi dzichidonha imwe imwe dzichiteverana. ngwenjere . Kuti ngwanja ngwanja kana kuti rzha rweinjini ye motokari yakasara. gweje gweje .
ngwanjai ngwanjai 	D- 		ny 		ngwanjai ngwanjai D- ny . Kuti ngwanjai ngwanjai kufamba kwemunhu asina simba.
ngwanjara 	D- 		ny 		ngwanjara D- ny . Kuti ngwanjara kudonha kwesvinga rehuni dzinenge dzisina kusungwa.
ngwaru 	DK 		ny 		ngwaru DK ny . Kana munhu akati ngwaru anenge achitaridzika kuva ane njere. Tsvagai mukomana akati ngwaru pavatatu ava, watichatuma kunoroora.
ngwendere 	K- 		ny 		ngwendere K- ny . Kuti ngwendere kurira kunoita mudziyo wesimbi kana wawira pasi.
ngwengwendere 	K- 		ny 		ngwengwendere K- ny . Kuti ngwengwendere ruzha rwunoitwa nendiro kana mumwewo mudziyo wesimbi paunowira pasi.
ngwi 	K 		ny 		ngwi K ny . Kuti ngwi kurovera kwechinhu pane chimwe.
ngwiringwindi 	K- 		ny 		ngwiringwindi K- ny . Kuti ngwiringwindi kupinda mugomba kana mumwena nyore nyore. Dhadha rasvikoti ngwiringwindi mugomba randachera.
nhamhu 	KD 		ny 		nhamhu KD ny . Kuti nhamhu kuuruka kunoita ingwe ichinobata mhuka yainenge ichida kudya kana kurwisa.
nhanhi 	DK 		ny 		nhanhi DK ny . Kuti nhanhi kuuruka uchibva pane rimwe dombo kuenda kune rimwe.
nhanhu 	KD 		ny 		nhanhu KD ny . Kuti nhanhu kukwakuka kunoita dacha.
nhenha nhenha 	KD+ 		ny 		nhenha nhenha KD+ ny . mhemha mhemha .
nhonhonho 	D- 		ny 		nhonhonho D- ny . Kuti nhonhonho kutonhora kwechikafu, kana kuti kutonhorera kwemamirire ekunze.
ningu 	DK 		ny 		ningu DK ny . Kuti ningu kuminyuka panzvimbo dzinosangana magodo emuviri, pakaita sepabvi. minyu .
njacha 	D- 		ny 		njacha D- ny . Kuti njacha kudonha kwemunhu asina simba. Kuti njacha kudonha kune ruzha, kwezvinhu zvakaita sehuni.
njaku njaku 	KD+ 		ny 		njaku njaku KD+ ny . njai njai .
njandangu 	KKD 		ny 		njandangu KKD ny . Kuti njandangu kudonha kwemunhu anenge atadza kutsika zvakanaka.
njandaya 	D- 		ny 		njandaya D- ny . Kuti njandaya kuwira pasi nekuda kwekushaya simba.
njaya 	D- 		ny 		njaya D- ny . Kuti njaya kusiya midziyo isina kurindwa. gwindiritse .
nje-e 	D 		ny 		nje-e D ny . Kuti nje-e kuhwinya kana kupenya kwechinhu. Kuti nje-e kufamba kwemunhu asina kugatsikana mumwoyo.
njengenjenge 	DKDK 		ny 		njengenjenge DKDK ny . Kuti njengenjenge kudonha kwechinhu chakaomarara, asi chiri mubutiro rakapfava.
njenjeke 	D- 		ny 		njenjeke D- ny . Kuti njenjeke kuisa midziyo kudivi rimwe chete, asi zvisingaratidzi kuva nehanya nemidziyo yacho. njokoto .
njerere 	K- 		ny 		njerere K- ny . Kuti njerere ruzha runoitwa neshiri kana makurwe.
njimu 	KD 		ny 		njimu KD ny . zhimu .
njo 	D 		ny 		njo D ny . Kuti njo kudonha kwezvinorira, sezvakaita mari. Akati njo kukanda saga rezvipikiri pasi.
njoko njoko 	KD+ 		ny 		njoko njoko KD+ ny . kocho kocho .
njunju 	KD 		ny 		njunju KD ny . Kuti njunju kuchena kwehembe kana mudziyo. mbu-u .
noko 	DK 		ny 		noko DK ny . Kuti noko kutora zvinhu nechanza cheruoko.
nombo 	DK 		ny 		nombo DK ny . Kuti nombo kutora zvinhu zvakaita sedovi, rupiza kana uchi uchishandisa chigunwe chimwe chete.
nonge 	KD 		ny 		nonge KD ny . Kuti nonge kutora chinhu chinenge chiri pasi nokukasika.
nonozo 	KKD 		ny 		nonozo KKD ny . Kuto nonozo kushanda nenungo uye pasina kukurumidzira kupedza.
nopfo 	KD 		ny 		nopfo nobvo KD ny . Kuti nopfo kudya munhu seasingadi, achingogura misuva nekumicheto kwemimwe. nyobvo, nyubvu .
nya 	K 		ny 		nya K ny . Kuti nya kunyura muvhu kana mumvura. Zuva rakati nya kunyura tisina kupedza kuchera mupfudze.
nyacha 	D- 		ny 		nyacha D- ny . Kuti nyacha kusimuka kwevhudzi, kana munhu asina kuripetura kuti ritsikane rakaenderana.
nyadi 	DK 		ny 		nyadi nyodi DK ny . Kana zuva rati nyadi rinenge ranyura.
nyaku nyaku 	D- 		ny 		nyaku nyaku D- ny . Kuti nyaku nyaku kufamba munhu achipesvura nhembe.
nyambu 	KD 		ny 		nyambu KD ny . Kuti nyambu kurova nekashamhu kadikidiki.
nyamwi 	DK 		ny 		nyamwi nyamwe DK ny . Kuti nyamwi kusimuka nokukasika.
nyandu nyandu 	D- 		ny 		nyandu nyandu D- ny . Kuti nyandu nyandu kufamba nekuchimbidza, munhu achimwaza maoko nenhumbi kuti aonekwe.
nyangarara 	D- 		ny 		nyangarara D- ny . Kuti nyangarara kwevhudzi hunge risina kukamurwa.
nyangi nyangi 	KD+ 		ny 		nyangi nyangi KD+ ny . Kuti nyangi nyangi kufamba kokunyahwaira kuti munhu asvike asina kunzwikwa. Chimangowe chinoti nyangi nyangi kana chaona makonzo.
nyanye 	D- 		ny 		nyanye D- ny . Kuti nyanye kuita chinhu chinopfurikidza panosvika vamwe. Mukoma wake anodada, asi munin'ina wake ndiye nyanye.
nyarakata 	D- 		ny 		nyarakata D- ny . Kuti nyarakata kudonha kwezvinhu zvanga zvakabatana, zvichiita chimwe chimwe. Chidziro chemba chakati nyarakata chatoteswa nomubvumbi wemvura. mokoto .
nyare 	D- 		ny 		nyare D- ny . Kuti nyare kusunga zvinyoronyoro zvisinganetsi kusungunura.
nyau 	KD 		ny 		nyau KD ny . Kuti nyau kuruma nekubvarura kungaita chinhu chine mazino akapinza. Garwe rakati nyau tsapfu yababa.
nyava 	D- 		ny 		nyava D- ny . Kuti nyava kupfava kwechinhu changa chiine nharo kana kuti chichimbonetsa, sezvinoita mombe painopingudzwa.
nyazu nyazu 	D- 		ny 		nyazu nyazu D- ny . Kuti nyazu nyazu kufamba nesimba uchidadirira.
nyenyenye 	D- 		ny 		nyenyenye D- ny . Kana chinhu chichiti nyenyenye chinenge chichingaima.
nyenyeu 	KKD 		ny 		nyenyeu KKD ny . Kuti nyenyeu kuruma chinhu uchisiya paine gomba. Mwana akati gwavha nyenyeu.
nyenyu 	KD 		ny 		nyenyu KD ny . Kuti nyenyu kuruma nekudya tubandi tudiki. Mukomana akati bhanana nyenyu.
nyeve 	DD 		ny 		nyeve DD ny . Kuti nyeve kuudza munhu mashoko angangomubatsira pane zvimwe zvinhu.
nyeya nyeya 	D- 		ny 		nyeya nyeya D- ny . Kana vana vakati hembe nyeya nyeya , umwe nemumwe anenge atengerwa yake.
nyezu 	KD 		ny 		nyezu KD ny . Kuti nyezu kuvesa moto unobvira zvikuru. nyeu, zhii .
nyezu nyezu 	D- 		ny 		nyezu nyezu nyezvu nyezvu D- ny . Kuti nyezu nyezu kufamba-famba kunenge kuchiita hembe inenge yakapfekwa kana kuturikwa.
nyi 	K 		ny 		nyi K ny . Kuti nyi kuisa chinhu mune chimwe chakaita mvura mvura.
nyimbiri nyimbiri 	KDD+ 		ny 		nyimbiri nyimbiri KDD+ ny . Kuti nyimbiri nyimbiri kutamba kunoita vanhu kana mhuka kana zvakafara.
nyindi 	K- 		ny 		nyindi K- ny . Kuti nyindi kupedza chikafu chose, kana kudya chikafu chakawanda zvokutosvika pakuzvimbirwa.
nyinu 	DK 		ny 		nyinu DK ny . Kuti nyinu kuburitsa mazino pachena, sezvinoita imbwa kana yatsamwa.
nyipu 	D- 		ny 		nyipu D- ny . Kuti nyipu kudonha kwemhuka kana munhu akaonda, kana kuti anorwara.
nyiri nyiri 	K- 		ny 		nyiri nyiri K- ny . Kuti nyiri nyiri kutaima kwezuva rinenge richipisa asi rakasangana neuma, zvokuti haunyatsoona kure.
nyn'a 	K 		ny 		nyn'a nya K ny . Kuti nyn'a kuenda nokurega kudzoka, zvikuru kana wanga wakatarisirwa kuti unochimbidzika kudzoka.
nyobi nyobi 	DK+ 		ny 		nyobi nyobi DK+ ny . Kuti nyobi nyobi kudyira kunenge kuchiita hove kana uchiredza nechirauro.
nyochi 	KD 		ny 		nyochi KD ny . Kuti nyochi kumedza musuva mukuru wesadza. kashu .
nyodo 	KD 		ny 		nyodo KD ny . Kuti nyodo kudimbuka kwetambo kana muchero wakaita sebhanana.
nyofu nyofu 	KD+ 		ny 		nyofu nyofu KD+ ny . Kuti nyofu nyofu kudya kunoratidza kuti munhu haasi kunyanya kufarira chikafu chacho. nyobvu nyobvu .
nyubvu 	KD 		ny 		nyubvu KD ny . nopfu .
nzi-i 	K 		ny 		nzi-i K ny . Kuti nzi-i ruzha runoitwa nezvipembenene zvakaita senyuchi, kana zvichibhururuka.
nzununu 	D- 		ny 		nzununu D- ny . Kuti nzununu kugara kwemunhu chinyararise, zvikuru kana achirwara kana kurwadziwa.
nzunzuma 	KKD 		ny 		nzunzuma KKD ny . Kuti nzunzuma kuchonjomara kwenguva pfupi wakatsigira muviri nezvitsitsinho.
nzva-a 	D 		ny 		nzva-a D ny . Kana kunze kwati nzva-a kunenge kwava kusviba. svu, nzvarara .
nzvai 	KD 		ny 		nzvai KD ny . Kuti nzvai kunyura kwechinhu mumvura. Kuti nzvai kuparwa kwemunhu nechinhu chinokuvadza.
nzve-e 	K 		ny 		nzve-e K ny . Kuti nzve-e kuenda nepadivi kuti usaonekwe, kana kubatwa, kana kuitwa zvimwewo neanenge achida kukudaro.
nzvi-i 	K/D 		ny 		nzvi-i K/D ny . Kana chinhu chakati nzvi-i chinenge chakasviba chaizvo.
nzvinzvi-i 	KD 		ny 		nzvinzvi-i KD ny . Kuti nzvinzvi-i kusviba zvikuru kwemunhu, mhuka, kunze kana mudziyo.
obodo 	D- 		ny 		obodo D- ny . Kuti obodo kubikika kwechokudya kwakapindiridza.
odo 	KD 		ny 		odo KD ny . Kuti odo kurara hope dzekufa chaidzo.
ombe 	D- 		ny 		ombe D- ny . Kuti ombe kuisa jira kana chimwe chinhu mumvura kwenguva yakareba.
pa 	D 		ny 		pa D ny . Kuti pa kurova zvakasimba nembama kana nechinhu chakapamhamha.
padu 	KD 		ny 		padu KD ny . Kana chinhu chati padu chinenge chatsemuka, kazhinji nokuda kwekuzarisa.
pai 	KD 		ny 		pai KD ny . Kana chinhu chati pai chinenge chabatirira mudenga, mungava mumuti, icho changa chichifungirwa kuti chichadzika pasi.
paka paka 	D- 		ny 		paka paka D- ny . Kana vanhu vachiita paka paka vanenge vachirongedza nokukurumidza.
pamu 	K- 		ny 		pamu K- ny . Kuti pamu kuzara kwemudziyo kusvika pamuromo.
panganu 	D- 		ny 		panganu D- ny . Kuti panganu kuwana twokudya, twokumwa kana twokuputa tushomashoma, twekungopedza havi munguva yazvinenge zviri kunetsa kuwana.
pangu 	KD 		ny 		pangu KD ny . Kuti pangu kubvisa tumwe tunhu pane zvimwe zvakawanda.
panyangu 	DDK 		ny 		panyangu DDK ny . Kuti panyangu kuvhura makumbo, zvokuti nhengo dzemuviri dzinonyadzisa dzinogona kuoneka.
papanya 	KKD 		ny 		papanya KKD ny . Kana chinhu chakati papanya chinenge chakaomarara, kunyanya nhumbi kana matehwe.
papara papara 	D- 		ny 		papara papara D- ny . Kuti papara papara kurova-rova kunoita huku kana shiri nemapapiro, kana yava kuda kubhururuka.
papata 	K- 		ny 		papata K- ny . Kuti papata kuoma zvakanyanya kwechinhu.
-parapata 	D 		ny 		-parapata D ny . Kana uchi parapata unenge uchitsvaga chimwe chinhu pose pose asi uchichishaya. Kana imbwa ichi parapata inenge ichichera pasi zvine simba.
pata 	DK 		ny 		pata DK ny . Kuti pata ruzha runoitwa nechinhu chakaita sedhaka kana poriji, kana zvawira pasi.
pati 	D- 		ny 		pati D- ny . Kuti pati kumuka nokukasika.
pazu 	KD 		ny 		pazu KD ny . Kuti pazu kutema mapazi pamuti.
pepere 	KKD 		ny 		pepere KKD ny . Kuti pepere kubva munhu aenda zvachose.
peperere 	D- 		ny 		peperere D- ny . pepere pepere .
pera pera 	DK+ 		ny 		pera pera DK+ ny . Kana chinhu chichiti pera pera chinenge chichitamba zvinoratidza kushaya simba.
pesengu 	KKD 		ny 		pesengu KKD ny . Kana chinhu chati pesengu chinenge changopatika chisisaonekwe.
petu 	DK 		ny 		petu DK ny . Kuti petu kukombamisa bepa kana jira kuti riite diki. Kuti petu kutendeuka wodzokera kwawabva.
pfa 	K 		ny 		pfa K ny . Kuti pfa kubata zvakasimba chinhu chinenge chakapfava.
pfacha 	D- 		ny 		pfacha D- ny . Kuti pfacha kungoerekana munhu asvika panzvimbo.
pfachu 	KD 		ny 		pfachu KD ny . Kuti pfachu kurasika kwemvura ichienda kure, kana painenge yakaungana pakandwa chinhu.
pfapfanyu 	KKD 		ny 		pfapfanyu KKD ny . Kuti pfapfanyu kuruma zinhindi renyama yakapfava. randabvu .
pfe 	K 		ny 		pfe K ny . Kana chinhu chati pfe chinenge chapinda pamwe panhu.
pfekeche pfekeche 	D- 		ny 		pfekeche pfekeche D- ny . Kuti pfekeche pfekeche ruzha runoitika kana munhu achifamba pane mashizha akaoma.
pfetse 	D- 		ny 		pfetse D- ny . Kana munhu ati pfetse anenge angopatika asvika.
pfi pfi 	K- 		ny 		pfi pfi K- ny . Kana vanhu vachiti pfi pfi vanenge vachiseka asi vachiedza kuvharidzira kuseka kwavo.
pfiki pfiki 	D- 		ny 		pfiki pfiki D- ny . Kuzviti pfiki pfiki kuzviisa pakahwandika.
pfocho 	D- 		ny 		pfocho D- ny . Kuti pfocho kumanya uchitiza, zvikuru kana wakurirwa kana kuti uchitya kukurirwa newaunenge uchitiza.
pfodogo 	KKD 		ny 		pfodogo KKD ny . Kuti pfodogo kushunya munhu nenzara.
pfucha 	D- 		ny 		pfucha D- ny . Kuti pfucha kuzadza mudziyo nembesa. Kuti pfucha kuzarisa kwezvinhu, zvekuti zvimwe zvinoteuka. -memetere, -pfacha .
pfuchu 	D- 		ny 		pfuchu D- ny . pfichi .
pfudunu 	D- 		ny 		pfudunu D- ny . Kuti pfudunu kubvisika kwepanga pakasungwa pachiregedzeka. -fundunu .
pfudzunu 	D- 		ny 		pfudzunu D- ny . pfudunu .
pfugudu 	KKD 		ny 		pfugudu KKD ny . pfudugu .
pfukuchu pfukuchu 	D- 		ny 		pfukuchu pfukuchu D- ny . Kuti pfukuchu pfukuchu ruzha runoitika kana munhu achifamba mumusheche. fekeshe fekeshe, zhaka zhaka .
pfukumu 	KKD 		ny 		pfukumu KKD ny . Kuti pfukumu kupfumbuka kwemumba manga muchitambirwa kana kudzanirwa.
pfumba 	D- 		ny 		pfumba D- ny . Kuti pfumba kubata chimwe chinhu neruoko, asi chinhu chacho chiri chidiki, zvokuti ruoko runochiputira.
pfumbunu 	KKD 		ny 		pfumbunu KKD ny . Kuti pfumbunu kubvisa muchero pawanga wakafimbikwa kuti uibve.
pfumvuma 	KKD 		ny 		pfumvuma KKD ny . Kana munhu akati pfumvuma anenge akagara akakotamira pasi, achinzwisa urombo.
pfunge 	D- 		ny 		pfunge D- ny . Kuti pfunge kunhuwa zvikuru.
pfunzunu 	KKD 		ny 		pfunzunu KKD ny . Kana chinhu chichiti pfunzunu , panga pakamonana kana kusunganidzwa panenge pachibva kana pachitasanuka. monono, putunu .
pfupfu 	D- 		ny 		pfupfu D- ny . Kana danda rine mhango richitsva mukati maro, rinenge richiti pfupfu .
pfurunyu 	KKD 		ny 		pfurunyu KKD ny . Kana uchiti pfurunyu unenge uchibvisa uswa padenga remba.
pfutu 	D- 		ny 		pfutu D- ny . Kuti pfutu kuregera munhu kana mombe zvanga zviri muusungwa.
pfuu 	KD 		ny 		pfuu KD ny . Kuti pfuu kupindira chinhu chinenge chiri mberi kwako, uchimhanya kuchidarika.
pfyu 	D- 		ny 		pfyu D- ny . Kuti pfyu kudauka kunoita mafuta anenge ari mupoto, sepaunowedzera mvura inotonhora.
pi-i 	K 		ny 		pi-i K ny . Kuti pi-i kuridza bhera kunoita bhazi, mudhudhudhu kana motokari.
pida pida 	KD+ 		ny 		pida pida KD+ ny . Kana munhu mupfupi mukobvu achiti pida pida , anenge achifamba achiita nhano diki uye achiratidza kuremerwa nomuviri wake. tanhu tanhu .
pidibu 	KKD 		ny 		pidibu KKD ny . pidigu .
pidigu 	KKD 		ny 		pidigu KKD ny . Kana motokari yabheuka inoti pidigu , mavhiri otarisa mudenga.
pigi 	DK 		ny 		pigi DK ny . Kuti pigi mutsindo unoitwa nebhiza nemakumbo aro kana richitsika pasi.
pikidu 	KKD 		ny 		pikidu KKD ny . Kuti pikidu kusimudza chinhu chakareba sedanda uchichitsudurusira kune rimwe divi.
piku piku 	D- 		ny 		piku piku D- ny . Kana munhu achiti piku piku anenge achifambisa, nokuda kwekuti arasika uye anonoka kwaanenge achifanira kuenda.
pindimbi 	K- 		ny 		pindimbi K- ny . Kuti pindimbi kuramba kuya kwekusadzokera kumashure. Kuti pindimbi kurebesa rwendo nokuenda nekure.
pinini 	K- 		ny 		pinini K- ny . Kuti pinini kuzungunuka kunoita chinhu chakaita sepfumo kana rabaya mhuka. Kuti pinini kumira kunoita sikarudzi yomurume kana afunga kurara nomukadzi.
pipidzu 	KKD 		ny 		pipidzu KKD ny . Kuti pipidzu kusimudza chinhu chinorema kuti ugozochitakura.
pipiri pipiri 	D- 		ny 		pipiri pipiri D- ny . Kuti pipiri pipiri kutatarika uchitsvaka nzira dzokuti uzvisunungure ugotiza, sezvingaita mhuka yabatwa gumbo netambo.
pipita 	D- 		ny 		pipita D- ny . Ku pipita kutakura zvinhu zvinorema. -bipitira .
pirimbwe 	KKD 		ny 		pirimbwe KKD ny . Kuti pirimbwe kuvhiringidzika mupfungwa nezvinhu zvaunenge usinganyatsi kunzwisisa.
piringa 	KKD 		ny 		piringa KKD ny . Kuti piringa kupesana kana kupindana kwezvinhu, sezvinoita munhu achiruka juzi.
piringido 	KKKD 		ny 		piringido KKKD ny . Kuti piringido kupinda pamwe panhu nokukasira, sezvinoita munhu ari kudzingirirwa.
piro-o 	KD 		ny 		piro-o KD ny . Kana chinhu chakati piro-o chinenge chakatsvuka zvakanyanya.
piru 	D- 		ny 		piru D- ny . Kuti piru kuva nepfungwa yokuda kurova kana kuponda munhu.
pishinu 	KKD 		ny 		pishinu KKD ny . Kuti pishinu kungokasika kusandura pfungwa.
piti piti 	D- 		ny 		piti piti D- ny . pitipiti .
pitu pitu 	D- 		ny 		pitu pitu D- ny . Kuti pitu pitu kufambisa kunoita munhu ane zvaari kutsvaga nokukasika.
piye 	KD 		ny 		piye KD ny . Kana chinhu chati piye chinenge chachinjikira pamwe panhu.
pobvo 	DK 		ny 		pobvo DK ny . Kana chinhu charira kuti pobvo chinenge chawira mumvura, sezvinoita dombo rakandwa.
pote 	KD 		ny 		pote KD ny . Kana chinhu chati pote chinenge chafamba chikaenda kuseri.
pu-u 	D- 		ny 		pu-u D- ny . Kana chinhu chati pu-u chinenge chadonha pasi.
pugu 	KD 		ny 		pugu KD ny . Kana munhu achiputa fodya, anoti utsi pugu mudenga.
puka puka 	KD+ 		ny 		puka puka KD+ ny . Kuti puka puka kufamba komunhu anege azungaira, achiratidza kuti haasi kuziva kwaari kuenda.
pukunyu 	KKD 		ny 		pukunyu KKD ny . Kuti pukunyu kuzvibvisa paunenge wakasungwa kana kubatwa.
pwa 	D 		ny 		pwa D ny . Kuti pwa kurira kunoita chinhu chinenge chatsemuka, sezvakaita puranga kana kuti rukuni.
pwaka 	DK 		ny 		pwaka DK ny . Kuti pwaka kutsika chimwe chinhu, kazhinji kacho chichibva charira kuita ruzha rwunonzikwa.
r 	K- 		nzv 		r K- nzv . Iyi inzvanyira inodaidzwa ichinzi ara ,inowanikwa pakati pa pii na esi mubumbiro remavara anoshandiswa kunyora rurimi rweChiShona.
rabu 	KD 		ny 		rabu KD ny . Kuti rabu kurara pasi usina simba mumuviri. Kuti rabu kurara pasi wakanyatsodekara.
