g e ʧ	гэж
χ a m ɢ a ɮ ə ɢ ʧʰ a r	хамгаалагчаар
x a m a r ə x g ui	хамаарахгүй
χ a m a r a t	хамаараад
χ a ɮ ʦ	халз
χ a ɮ t ə χ	халдах
x a t g ə ɮ ə m ʧ i ŋ	хадгаламжийн
χ aa ɮ ɢ ə ʧʰ	хаалгач
ʊ j ə ɮ t a	уялдаа
ʊʊ ʧʰ ɮ ə ɮ tʰ	уучлалт
ʊ r s ɢ ə ɮ t	урсгалд
ʊ rʲ a	уриа
ʊ r ə m ʃ ʊ ɮ ə ɮ	урамшуулал
ʊ tʲ ə r t ɮ ə ɢ ə tʰ ai	удирдлагатай
ʊ ɢ tʰ ə ŋ	угтан
tʰ o s w o s	төсвөөс
tʰ o r ə x ə t	төрөхөд
tʰ o g s g ə ɮʲ i ŋ	төгсгөлийн
tʰ u ɮ x ə ŋ	түлхэн
tʰ ui m ə r tʰ	түймэрт
tʰ i tʰ g ə w ə r tʰ	тэтгэвэрт
tʰ i r tʰ e x	тэртээх
tʰ i r g u n e r	тэргүүнээр
tʰ i r g e r	тэргээр
tʰ i m u ɮ ə ɮ	тэмүүлэл
tʰ ʊ ʃ a ɮ tʰ ə n t	тушаалтанд
tʰ ʊ ʃ a ɮ a s	тушаалаас
tʰ ʊ s ɮ a ʧʰ	туслаач
tʰ ʊ s ə ʧ	тусаж
tʰ ʊ r ə ɴ χ ai	туранхай
tʰ ɔɔ ɮ ɮ ə ɢ ə ŋ	тооллогын
tʰ ɔi r ʊ ɮ ə ŋ	тойруулан
tʰ ɔ ɢ ɮ ə s ə r	тоглосоор
tʰ a χ	тахь
tʰ a χ ə r	тахир
tʰ a χ a	тахиа
tʰ a w tʰ ai	тавтай
tʰ aa ɮ ə ɢ t ə χ	таалагдах
s uu tʰ e	сүүтэй
s i tʰ g u ɮ ʧʰ i ŋ	сэтгүүлчийн
s i tʰ g u ɮ ʧʰ t ə t	сэтгүүлчдэд
s e r ʧ	сэрж
s e r	сэр
s e ŋ	сэн
s ʊ r tʰ ə χ ʊ ŋ	суртахуун
s ʊ r g ʊ ɮʲ i ŋ x a	сургуулийнхаа
s ʊ r ə ŋ	суран
s ʊ r ə ɢ ʧʰ t ə ŋ	сурагчдын
s ʊ m tʰ ai	сумтай
s ɔ ŋ g ə g ʧʰ i ŋ	сонгогчийн
s i g ə n t ə t	секундэд
s a n ə ŋ	санан
s ai χ n a r	сайхнаар
s ai ʧ ə r ʧʰ	сайжирч
s a ɢ	сага
ɔ s ɮ ə ŋ	ослын
ɔ rʲ	орь
ɔ r ʊ ɮ ə ɢ ʧʰ ə t	оруулагчид
ɔ r tʰ ə ɮ	ортол
ɔ r ə χ ə ŋ	орохын
ɔ r ə ɮ ʦʰ ə χ ə g	оролцохыг
ɔ r ə ɮ ʦʰ ə t	оролцоод
ɔ r ə ɮ ʦʰ ə g ui	оролцоогүй
ɔ r ə ɮ ʦʰ ə n	оролцоно
ɔ r t ə n	ордоны
ɔ r t ə g g ui	ордоггүй
ɔ m gʲ i ŋ	омгийн
ɔ ɮ n ɔ	олноо
ɔ ɮ t s ə ŋ g ui	олдсонгүй
ɔi ɮ ɢ ə ɮ tʰ tʰ ɔi	ойлголттой
ɔi ɮ ɢ ə ɮ ɔ	ойлголоо
ɔ t ə ʧ	одож
n o x ə x	нөхөх
n ee g t ʧ e	нээгджээ
n i m ə g t ə t	нэмэгдээд
n i g ʧ i g	нэгжийг
n i w tʰ ə r xʲ i	нэвтэрхий
n i w tʰ r u ɮ ə g tʰ	нэвтрүүлэгт
n i w tʰ r u ɮ g e	нэвтрүүлгээ
n ʊ χ ə ʦʰ tʰ ai	нухацтай
n ʊ ɮʲ ə m s a	нулимсаа
n ɔ tʰ ɮ ə ɢ t s ə ŋ	нотлогдсон
n ɔɔ ɢ t ə ɮ	ноогдол
n ɔ m ɮ ə ɮ	номлол
nʲ ii tʰ ə ɮ s ə ŋ	нийтэлсэн
nʲ e pʰ tʰʲ	нефть
n a r tʰ ai ɢ a	нартайгаа
m o ʧʰ i g	мөчийг
m i r g ə ʧ ə ɮ tʰ n u tʲ i ŋ	мэргэжилтнүүдийн
m ʊ χ ə r	мухар
m ɔ rʲ tʰ ɔi	морьтой
m a n t ɮ ə ŋ	мандлын
m a ɮ ə g	малыг
ɮʲ i ŋ g	линк
ɢ ɔ m pʰ ə nʲ ʊ t ə t	компаниудад
ɢ a mʲ ə r	камер
i ʧʰ e t	ичээд
i x ə s ʧʰ	ихэсч
i tʰ g ə s ə ŋ	итгэсэн
i ɮ u t ə ɮ	илүүдэл
i t ə ʃ tʰ ə ŋ	идэштэн
ʦ oo w rʲ i ŋ	зөөврийн
ʦ o w ʃ o r ʧʰ e	зөвшөөрчээ
ʦ u r x ə ŋ	зүрхэн
ʦ ui r	зүйр
ʦ i r g ə ɮ t ə x	зэргэлдээх
ʦ ʊ r ɢ ə ŋ	зурган
ʦ ʊ r a t	зураад
ʦ ɔ ɢ s ə n	зогсоно
ʦ ɔ ɢ s ɮ ɔ	зогслоо
ʦ ɔ ɢ s t ə g	зогсдог
ʦ ɔ w ɔ t	зовоод
ʦ a r t ɮ ə ŋ	зардлын
ʦ a ŋ g	занг
ʦ a ɮ ɢ ə m ʧ ɮ ə ɢ ʧʰ	залгамжлагч
ʦ a ɮ ɢ a t	залгаад
ʦ ai n a s	зайнаас
ʦ ai g ui	зайгүй
ʦ ai ɢ a	зайгаа
ʧ a ɢ s a ɮ tʰ ə ŋ	жагсаалтын
ʧ a ɢ s a ɮ tʰ ə n t	жагсаалтанд
t u r e r e	дүрээрээ
t u r ə m t	дүрэмд
t ʊʊ ɮ ə χ	дуулах
t ɔ tʰ ə r xʲ i	доторхи
t ɔ w tʰ ə ɮ ɢ ə n	довтолгооны
tʲ i w a ʧ ə ŋ	диваажин
t a j ə ŋ	даян
t a r ʊi t a	даруйдаа
t a ɮ ai g	далайг
g o r o s	гөрөөс
g u n e s	гүнээс
g e r ʧʰ	гэрч
g ɔ r xʲ i	горхи
ɢ ɔ ɮ ə m tʰ	голомт
ɢ a n ʦʰ a r t ə ʧ	ганцаардаж
p o x ʧʰ u t	бөхчүүд
p u tʰ e ɮ t e	бүтээлдээ
p u tʰ ə n	бүтнэ
p u r ə ɮ t ə x u n tʰ e	бүрэлдэхүүнтэй
p u r tʰ g u ɮ ʧ	бүртгүүлж
p i ɮ ə g ɮ ə s ə ŋ	бэлэглэсэн
p ʊ ʦʰ ə ŋ	буцан
p ʊ tʰ ə r χ ai	бутархай
p ʊ ɮ ɢ	булга
p ɔ χ ə r t ə ɮ	бохирдол
p ɔ s g ə ʧ e	босгожээ
p ɔ r ɮ ʊ ɮ s ə ŋ	борлуулсан
p ɔ r ʧ ə ŋ	боржин
p ɔ ɮ ʧʰ ɔ t	болчоод
p ɔ ɮ tʰ ɔi	болтой
p ɔ ɮ ə w s r ʊ ɮ ə ɮ tʰ	боловсруулалт
p ɔ ɮ ɢ ə s n ə r	болгосноор
p a j ə r ɮ a t	баярлаад
p a j ə ɮ ə gʲ i g	баялагийг
p a tʰ ə ɮ ɢ a g	баталгааг
p a rʲ ʦʰ a n t	барьцаанд
p a rʲ ə m ʧ a	баримжаа
p a rʲ ə w ʧʰ ɮ ə ŋ	баривчлан
p ai ʦʰ a ɢ ʧʰ	байцаагч
p ai ɮ t ə χ	байлдах
p ai ɢ ʊ ɮ s n a r	байгуулснаар
p ai ɢ ʊ ɮ ə ɮ tʰ ə g	байгуулалтыг
p ai ɢ ə ɮ	байгал
p ai ɢ a ɢ a r a	байгаагаараа
p ai ɢ	байга
p a ɢ tʰ a t ə g	багтаадаг
p aa gʲ i	баагий
a j ə ɮ ə ʧ	аялаж
a χ ɮ ə ɢ ʧʰ a r	ахлагчаар
a tʰ ə ɮ	атал
a s ʊ ɮ tʰ ə ŋ	асуултын
a rʲ s ə g	арьсыг
a r ɮ ə g	арлыг
a ɴ χ a r ʊ ɮ ʧ	анхааруулж
a ɴ ɢ a χ ai	ангаахай
a mʲ tʰ t ə g	амьтдыг
a ɮ χ s ə ŋ	алхсан
a ɮʲ ə m	алим
a ɮ p ə tʰ	албат
a ɮ p a r	албаар
a ʧ ə ɮ tʰ ə n	ажилтны
a ʧ ə ɮ ɮ ə χ ə t	ажиллахад
a ʧ ə ɢ ɮ ə s ə ŋ	ажигласан
a ɢ n ʊ r	агнуур
a wʲ a s ɮ ə g	авьяаслаг
a w ʧʰ ə χ a t	авчихаад
a w m a r	авмаар
i x nʲ i x	Эхнийх
i s ə ŋ	Эсэн
i r u gʲ i ŋ	Эрүүгийн
i r t ə m tʰ ə t	Эрдэмтэд
i r g ə ʧ	Эргэж
i ɮ ʧʰ ə ŋ	Элчин
e w tʰ	Эвт
ʦʰ i ʦʰ ə g	Цэцэг
ʦʰ aa ʃ ə ɮ p ə ɮ	Цаашилбал
x i s gʲ i ŋ	Хэсгийн
x i r ə g	Хэрэг
x e ŋ g s	Хэнкс
χ ʊ r t ə ŋ	Хурдан
x ɔ s e	Хосе
χ ɔ r ɔ	Хороо
xʲ i ɮʲ i ŋ	Хилийн
χ a ʧ ʊ t	Хажууд
pʰʲ i ɮʲ ə pʰ pʰʲ ə ŋ	Филиппин
ʊ tʰ ɢ	Утга
ʊ n ʃ s ə ŋ	Уншсан
ʊi ɢ ə r ə ŋ	Уйгурын
tʰ o s ɮʲ i ŋ	Төслийн
tʰ u r	Түр
tʰ i x t e	Тэхдээ
tʰ i r tʰ e	Тэртээ
tʰ i n t e s	Тэндээс
tʰ i g e ɮ	Тэгээл
tʰʲ ii m t e	Тиймдээ
s mʲ i tʰ	Смит
ɔ j ʊ n a	Оюунаа
ɔ ɮʲ ə m pʰ	Олимп
ɔ g tʰʲ ə p rʲ i ŋ	Октябрийн
ɔi	Ой
n u p ə ŋ	НҮБын
nʲ i ɮ e t	Нилээд
nʲ i gʲ ə r	Нигер
n a s ə n t	Насанд
n a t a s	Надаас
m o r ə t ə ɮ	Мөрөөдөл
mʲ a ɴ ɢ ə ŋ	Мянган
m i t ɮ ə g	Мэдлэг
m ɔ t	Мод
m a r ɢ	Марко
ɮʲ i wʲ i	Ливи
ɮ a ɔ s	Лаос
g rʲ i m ɮʲ i ŋ	Кремлийн
gʲ i n nʲ ə tʲ i	Кеннеди
ʦ oo ɮ ə ŋ	Зөөлөн
ʦ uu ŋ g ə r ə ŋ	Зүүнгарын
ʦ uu t	Зүүд
ʦ a m ə ŋ	Замын
ʦ aa	Заа
t a nʲ i	Дани
g ui ʦʰ ə tʰ g ə g ʧʰ	Гүйцэтгэгч
g e r tʰ	Гэрт
ɢ ʊ r ə w	Гурав
ɢ ɔ r p ə ʧʰ ə w	Горбачев
p o m p ə gʲ i ŋ	Бөмбөгийн
p u ɮ ə g	БҮЛЭГ
p ɔ t w ə ɮ	Бодвол
pʲ i p ɮʲ i	Библи
pʲ i r ɮʲ ə nʲ i	Берлиний
p a tʰ p ə ɮ t	Батболд
a ʊ ɢ a	Аугаа
a n tʰ ə r ɢ tʰʲ ə t	Антарктид
a ɴ ɢ ə r ə g	Ангараг
a mʲ	Амь
a m r ə ɮ tʰ ə ŋ	Амралтын
a mʲ ə rʲ ə ɢ ʧʰ ʊ t	Америкчууд
ai ɮ ə ŋ	Айлын
o s g ə x	өсгөх
o r s ə ɮ t ə nʲ i	өрсөлдөөний
o n ʦʰ g o s	өнцгөөс
o n t ə g nʲ i	өндөгний
o ŋ g ə r ə x ə t	өнгөрөхөд
o ŋ g ə r u ɮ ə x	өнгөрүүлэх
o ŋ g ə nʲ i	өнгөний
o t r u tʲ i g	өдрүүдийг
o w t t ə g	өвддөг
oo r tʰ	Өөрт
o g u ɮ ɮ ə g	Өгүүллэг
uu r ə g tʰ	үүрэгт
u s nʲ i	үсний
u r ʧ ə ɮ t	үржилд
u n e	үнээ
u n ə ɮ s ə ŋ	үнэлсэн
u n ə ɮ g ə g	үнэлгээг
u n t ə s ɮ ə ʧ	үндэслэж
u ɮ t e n	үлдээнэ
u ɮ t ɮ e	үлдлээ
ui ɮ t t ə g	үйлддэг
u ʦ ə s g ə ɮ ə ŋ gʲ i ŋ	үзэсгэлэнгийн
u ʦ ə g ʧʰ t ə t	үзэгчдэд
u j ə r x ə ɮ	үерхэл
u tʲ i ŋ	үдийн
uu rʲ i ŋ	Үүрийн
j a rʲ ə ɮ a	ярилаа
j a rʲ a n a s	ярианаас
j a w ʊ ɮ a t	явуулаад
j ʊ m a r	юмаар
i ʦʰ s e r	эцсээр
i x ə ɮ s n ə r	эхэлснээр
i x n ə rʲ i g	эхнэрийг
i x ɮ u ɮ ə x	эхлүүлэх
i s ə r g u	эсэргүү
i r w e x e	эрвээхэй
i mʲ i g	эмийг
i ʦ ə n tʰ e	эзэнтэй
i ʦ ə ŋ g ui	эзэнгүй
i ʦ ɮ ə ʧ	эзлэж
i g ʃ gʲ i ŋ	эгшгийн
ʃ uu s	шүүс
ʃ u tʰ ɮ ə g tʰ e	шүтлэгтэй
ʃ ʊ t ə r ɢ a r	шударгаар
ʃ ɔ r ɔ n	шорооны
ʃ i r tʰ ə ŋ	ширтэн
ʃ i n ʧ e ʧʰ ə t	шинжээчид
ʃ a χ ə ɮ tʰ a r	шахалтаар
ʃ a tʰ ə n t a	шатандаа
ʃ a ɮ ɢ ʊ r ə g	шалгуурыг
ʧʰ e ŋ	чэн
ʧʰ a n ə t	чанад
ʧʰ a mʲ ə ŋ	чамин
ʦʰ ee ʧ ə ŋ	цээжин
ʦʰ i ʦʰ gʲ i g	цэцгийг
ʦʰ ʊ ɢ ɮ ʊ ɮ ɢ	цуглуулга
ʦʰ ɔ χ ə s ə ŋ	цохисон
ʦʰ a ɮʲ ə ŋ g	цалинг
x o tʰ ə ʧʰ	хөтөч
x o n t ɮ ə ŋ g ə s	хөндлөнгөөс
x o ɮ o r o	хөлөөрөө
x o ɮ s i g	хөлсийг
x o t ə ɮ g ə nʲ i x ə ŋ	хөдөлгөөнийхөн
x o w g u tʲ i ŋ	хөвгүүдийн
x uu x nʲ i g	хүүхнийг
x u ʧʰ ə ɮ tʰ ə r ə g ʧʰ	хүчилтөрөгч
x u ɮ ə ɮ g ə x	хүлээлгэх
x u ɮ ə ɮ g ə ʧ	хүлээлгэж
x i r ə g s ɮʲ i g	хэрэгслийг
x i r ə g ʧ ə x	хэрэгжих
x i m n ə x	хэмнэх
x i ɮ e r e	хэлээрээ
x i ɮ e r e	хэлээрэй
x i ɮ ə xʲ i g	хэлэхийг
x i ɮ x e	хэлхээ
x i tʲ i t	хэдийд
χ ʊ tʰ ə ɢ tʰ ə ŋ	хутагтын
χ ʊ r t ə g	хурдыг
χ ʊ r a ɮ tʰ ə ŋ	хураалтын
χ ʊ w a rʲ ə ɮ ə χ	хуваарилах
χ ɔ j ə r ɔ	хоёроо
χ ɔ ʃ ʊ g	хошууг
χ ɔ ʧʰ	хоч
χ ɔ s ɮ ə ŋ	хослон
χ ɔ r ɔ ɮ ɮ ə ŋ	хорооллын
χ ɔ r m ɔi	хормой
χ ɔ ɮ p ə ɮ tʰ	холболт
χ ɔ ʧ m ə ŋ	хожмын
xʲ i ʧʰ e ɮ t	хичээлд
xʲ i ɮ ɮ ə x	хиллэх
χ a n tʲ ə w ə ŋ	хандивын
χ a ɴ ɢ ə ɢ t s ə ŋ	хангагдсан
χ a n ə m ʧ	ханамж
χ a m ɢ a ɮ ə ɮ	хамгаалал
χ a ɮ ʊ	халуу
χ a ɮ t ɮ ə ɢ	халдлага
χ a ɮ t w ə r tʰ ai	халдвартай
χ a ɮ t ə ŋ	халдан
χ a t ɢ ə ɮ ə n	хадгална
χ a t ə n t	хаданд
χ aa n ʧʰ ɮ ə ɮ ə ŋ	хаанчлалын
pʰʲ ʊ ʧʰ ə r s	фючерс
ʊ ʧʰ r ə ɮ	учрал
ʊ χ ə r ʧʰ	ухарч
ʊʊ tʰ	уут
ʊʊ ɮ n a s	уулнаас
ʊ r s ɢ ə ɮ tʰ ai	урсгалтай
ʊ n ʃ ɮ ə ɢ	уншлага
ʊi tʰ ɢ ə r	уйтгар
tʰ o ʧʰ n o ŋ	төчнөөн
tʰ o x ə r ə m ʧ u t	төхөөрөмжүүд
tʰ o s ə ɮ t ə g	төсөөлдөг
tʰ o r tʰ	төрт
tʰ o g r ə gʲ i g	төгрөгийг
tʰ o w ə g g ui	төвөггүй
tʰ uu g e r e	түүгээрээ
tʰ u r u g e	түрүүгээ
tʰ u g	түг
tʰ ee r	тээр
tʰ i r g u n t	тэргүүнд
tʰ e ŋ	тэн
tʰ i m ʦʰ s ə ŋ	тэмцсэн
tʰ i g t ə g	тэгдэг
tʰ ʊ ʃ a ɮ tʰ n ʊ t	тушаалтнууд
tʰ ʊ ʃ a ɮ a s a	тушаалаасаа
tʰ ʊʊ r ɢ	туурга
tʰ ʊ s ɢ ə χ	тусгах
tʰ ʊ s ɢ ə n	тусгана
tʰ ʊ s ɢ ə ŋ	тусган
tʰ ʊ ɮ s ə ŋ	тулсан
tʰ ʊ ɮ ɢ ə ʧ	тулгаж
tʰ ʊ ɢ ə ɮ ɢ	тугалга
tʰ ɔ s ə g	тосыг
tʰ ɔ r ɢ ʊ ɮʲ	торгууль
tʰ ɔ m r ɔ t	томроод
tʰ ɔ t r ʊ ɮ ʧ	тодруулж
tʰ ɔ t ə r χ ɔi ɮ ə χ ə t	тодорхойлоход
tʰ ɔ t ɔ r	тодоор
tʰ ɔ ɢ tʰ ə ɮ ʦʰ ə n	тогтолцооны
tʰ ɔ ɢ tʰ n ə χ	тогтнох
tʰ ɔ ɢ ɮ ə χ ə r	тоглохоор
tʰ ɔ ɢ ɮ ɔ m ʊ t	тоглоомууд
tʰʲ ii ŋ x u	тийнхүү
tʰ a tʰ ə ɮ p ə r	таталбар
tʰ a nʲ ə ɢ t s ə ŋ	танигдсан
tʰ a mʲ ə r ʧʰ t ə ŋ	тамирчдын
tʰ ai ɮ p ə r ɮ ə ŋ	тайлбарлан
tʰ ai ɮ p ə r ɮ a t	тайлбарлаад
tʰ ai ɮ a t	тайлаад
tʰ a ɢ tʰ a	тагтаа
tʰ a ɢ n ʊ ɮ	тагнуул
tʰ a wʲ ʧʰ ə χ s ə ŋ	тавьчихсан
tʰ a wʲ ə ɢ t ə ʧ	тавигдаж
tʰ a wʲ ə w	тавив
s o r g o r	сөргөөр
s i tʰ g u ɮ ʧʰ tʲ i ŋ	сэтгүүлчдийн
s i tʰ g ə g t ɮʲ i g	сэтгэгдлийг
s ʊʊ ŋ	суун
s ʊ r tʰ ə ɮ ʧʰ ə ɮ ʧ	сурталчилж
s ʊ r ɢ ə ŋ	сурган
s ʊ r w ə ɮ ʧ ʊ t	сурвалжууд
s ɔ n s ə ɢ t ə n	сонсогдоно
s i s tʰʲ ə m ə r	системээр
s i r wʲ ə r	сервер
s a r ɮ ə g	сарлаг
s a n t ə r ʧʰ	сандарч
s a t ə r	садар
pʰ r a ɢ tʰʲ ə ɢ tʰ	практикт
ɔ j ʊ n ɮ ə g	оюунлаг
ɔ r ʧʰ ɔ t	орчоод
ɔ r ʧʰ n ɔ	орчноо
ɔ r ə ɮ ʦʰ ʊ ɮ ə χ	оролцуулах
ɔ r ə ɮ ʦʰ ʊ ɮ ə ŋ	оролцуулан
ɔ r ɔi t ɔ	оройдоо
ɔ ɮ t ə ʧ	олдож
ɔ t ʊ t	одууд
ɔ t n	одны
ɔ w r ə ŋ	оврын
n o x t o	нөхдөө
nʲ a ɢ tʰ ɮ ə ŋ	нягтлан
n i x ə ŋ	нэхэн
n i m ə g t ə ɮ	нэмэгдэл
n i g ə x ə ŋ	нэгээхэн
n i g ə n t e	нэгэндээ
n ʊʊ ɢ a t	нуугаад
n ʊ g ə s g ui	нугасгүй
n ɔ tʰ ə ɮ s ə ŋ	нотолсон
n ɔ w ʃ	новш
nʲ i s ʧʰ	нисч
nʲ ii tʰ e r e	нийтээрээ
nʲ ii s ɮ ə ɮʲ i g	нийслэлийг
nʲ ii ɮ u ɮ ə x	нийлүүлэх
n a m ʊ χ ə ŋ	намуухан
n ai m	найм
m o r o r	мөрөөр
m o r g ə ɮʲ i ŋ	мөргөлийн
m e r	мэр
m ɔ t tʰ ɔi	модтой
m ɔ t ɔ r	модоор
m a ʃ ə n t	машинд
m a ɢ n ai	магнай
ɮ ʊ ɢ a	лугаа
ɢ ɔ n ʦʰ ə r tʰ	концерт
ɢ ɔ m pʰ ə nʲ ə tʰ ai	компанитай
ɢ a ʦ ə g	казак
i s pʰ ə nʲ i	испани
i r u ɮ ə n	ирүүлнэ
i r ə x ə s	ирэхээс
i r ʧʰ ə x e t	ирчихээд
i ŋ g ə s n ə r	ингэснээр
i ɮ u g e r	илүүгээр
i ɮ ə r xʲ i ɮ ə n	илэрхийлнэ
i ʧ i	ижий
ʦ o w ɮ ə g ə g	зөвлөгөөг
ʦ uu t ə ɮ ʧ	зүүдэлж
ʦ u tʰ g ə x	зүтгэх
ʦ ui g	зүйг
ʦ ɔ rʲ ə ɮ tʰ ə g	зорилтыг
ʦ ɔ ɴ χ ə ɮ ə χ	зонхилох
ʦ ɔ w ɮ ə n t	зовлонд
ʦ a r ʦʰ ʊ ɮ ə n	зарцуулна
ʦ a r ə ɢ t ə ʧ	зарагдаж
ʦ a r a t	зараад
ʦ a ɮ ʧ	залж
ʦ a ɮ pʲ ə r ʧʰ	залбирч
ʦ a ɮ ə r ʧʰ	заларч
ʧ i ɮ u t	жилүүд
ʧ i ɮʲ i ŋ x e	жилийнхээ
t uu g e	дүүгээ
t u r u t ə t	дүрүүдэд
t u r ə ɮ ʦ ə ʧ	дүрэлзэж
t u ŋ g e	дүнгээ
t i m ʧ ɮ ə g tʰ ə g ə r	дэмжлэгтэйгээр
t i g ɮ ə mʲ i g	дэглэмийг
t i w ʃ ə ɮ tʰ ə tʰ	дэвшилтэт
t i w ʃ ə g ʧʰ ə t	дэвшигчид
t i w tʰ ə r tʰ	дэвтэрт
t ʊʊ s ɢ a t	дуусгаад
t a χ ə n a	дахинаа
t a s g ə ɮ ʧ ʊ ɮ ə g ʧʰ i ŋ	дасгалжуулагчийн
t a m ʧ ə χ	дамжих
t a m ʧ ə ʧ	дамжиж
t ai ʧʰ ɮ ə ŋ	дайчлан
t a w ə m ɢ ai ɮ ʧ	давамгайлж
g u r n u t	гүрнүүд
ɢ a ɮ s	гялс
ɢ a ɮ ə ɮ ʦ ə ʧ	гялалзаж
g i s ə ŋ g ui	гэсэнгүй
g i r e g e	гэрээгээ
g i r ʧʰ ə ɮ g e	гэрчилгээ
g i rʲ i g	гэрийг
g i r g ui	гэргүй
g i n ə tʰ x ə ŋ	гэнэтхэн
g i ɮ ʦʰ t ə g	гэлцдэг
ɢ ʊ ʧʰ	гуч
gʲ i nʲ i ŋ	генийн
ɢ a r tʰ ə ɮ	гартал
ɢ a r ɢ ə s ə n	гаргасны
ɢ a r ɢ ə w	гаргав
g a ʦ ə r g ui	газаргүй
ɢ a t ʊ r χ ə χ	гадуурхах
wʲ i tʰ ə mʲ ə ŋ	витамин
wʲ i n	вино
p u tʰ ə x	бүтэх
p u s ɮ ə ŋ	бүслэн
p u ɮ e ŋ	бүлээн
p i ɮ tʰ g ə t ə g	бэлтгэдэг
p ʊʊ t a t	буудаад
p ʊ r ʊ ɢ a r	буруугаар
p ɔ ɮ s ə n ɔ	болсоноо
p ɔ ɮ ə r	болор
p ɔ ɮ ə ɮ ʦʰ ə tʰ ɔi	бололцоотой
p ɔ ɮʲ ə n	болино
p ɔ t ɔ r ɔi	бодоорой
pʲ i ʧʰ	бич
pʲ i j ə ɮ u ɮ s ə ŋ	биелүүлсэн
p a j ə r ɮ ə t ə g	баярладаг
p a rʲ ʦʰ a ɮ ə ɢ t s ə ŋ	барьцаалагдсан
p a r s	барс
p a rʲ ʊ ɮ ʧ	бариулж
p a rʲ ə m tʰ ə ŋ	баримтын
p a r gʲ i ŋ	баргийн
p a r a ɢ a	бараагаа
p a ɮʲ a r	балиар
p ai ʃ ə t	байшд
p ai ɮ t a ŋ	байлдаан
p ai t ə ɮ t a	байдалдаа
p ai ɢ ʊ ɮ ə ɢ t ə χ	байгуулагдах
p ai ɢ a ʦ	байгааз
p a ɢ ʃ ə ɮ ʧ	багшилж
p a ɢ ɮ a	баглаа
p aa tʰ r ə ŋ	баатрын
p aa w ɢ ai ŋ	баавгайн
a χ ə g	ахыг
a tʰ ɢ ə ʧ	атгаж
a s ʊ ɮ ɢ ə ŋ	асуулгын
a s ʊ t ɮ a s	асуудлаас
a s ʊ t ə ɮ g ui	асуудалгүй
a rʲ ə ɮ ɢ ə ʧ	арилгаж
a n t ʊ r ʧʰ	андуурч
a mʲ t r ə χ ə t	амьдрахад
a mʲ ə n t	аминд
a ɮ t ə r ʃ ʧ e	алдаршжээ
a ɮ a t	алаад
ai m ɢ a s	аймгаас
a ʧ ə ɮ s ə g	ажилсаг
a ʧ ə ɢ ɮ ə ɢ t t ə g	ажиглагддаг
a ɢ ʊ ɮ ə n	агуулна
a w j a s tʰ ai	авъяастай
a w χ ai	авхай
a w ɮ ə ɢ	авлага
a w ə ɢ ʧʰ ə t	авагчид
j a s ə ɔ	Ясуо
ee ʧ i ŋ	Ээжийн
i tʲ ə s ə n	Эдисоны
ʃ a ʃ ə n	Шашны
ʃ a t ə r	Шадар
ʦʰ a ɮʲ ə ŋ	Цалин
x o r ə ŋ gʲ i ŋ	Хөрөнгийн
x uu x ə ŋ	Хүүхэн
x u ʧʰ tʰ e	Хүчтэй
x u r e	Хүрээ
χ a tʰ ə n	Хятаны
x i r gʲ i ŋ	Хэргийн
x i w ɮ ə ɮʲ i ŋ	Хэвлэлийн
χ ʊ ɢ ə ʦʰ a	Хугацаа
χ ɔ s	Хос
χ ɔ r w ə tʰ ə ŋ	Хорватын
χ ɔ ɮ ɮʲ ə w ə t ə ŋ	Холливудын
pʰ ʊ ɢ ə t a	Фукуда
ʊ ɮ ə m ʧ ɮ ə ɮ tʰ	Уламжлалт
tʰ o wʲ i ŋ	Төвийн
tʰ u w t ə t	Түвдэд
tʰ ee t	Тээд
tʰ i g ə x g ui	Тэгэхгүй
tʰ a ɔ	Тао
tʰ a mʲ ə r	Тамир
tʰ a ɮ ʊ t	Талууд
s u m p e	Сүмбэ
s i tʰ g u ɮ ʧʰ	Сэтгүүлч
s tʰʲ i w	Стив
s ɔ ɴ ɢ ʊ ɮʲ	Сонгууль
s ɮ ɔ wʲ ə nʲ i ŋ	Словенийн
s a χ ə r ə ŋ	Сахарын
r ɔ wʲ ə r s	Роверс
pʰ r ɔ tʲ ə s ə r	Продюсер
pʰ a r ɮ ə mʲ ə n tʰ	Парламент
ɔ j ʊ n	Оюуны
ɔ r t ə s	Ордос
ɔ n ʦʰ	Онц
ɔ t t ə ŋ	Оддын
n uu t ɮʲ i ŋ	Нүүдлийн
n ɔ r wʲ ə gʲ i	Норвеги
nʲ i g ə ɮ ai	Николай
m o r ə ŋ	Мөрөн
m o ŋ x tʰ ə r	Мөнхтөр
m o ŋ g ə ŋ	Мөнгөн
m i t ə x g ui	Мэдэхгүй
m a ʧʰ ə tʰ e	Мачетэ
m a n ʧ ʊ r	Манжуур
ɮʲ i n ə g s	Линукс
gʲ i j ə w	Киев
i j ə r ə s ə ɮʲ ə m	Иерусалим
ʦ u r ʧʰ ə tʲ i ŋ	Зүрчидийн
ʦ ɔ χ ɔ ŋ	Зохион
ʦ ɔ χ ɔ ɢ ʧʰ	Зохиогч
ʦ ɔ rʲ ə ɢ tʰ	ЗОРИГТ
ʧ u ʧ ə g ʧʰ ə ŋ	Жүжигчин
ʧ a m ə χ	Жамуха
t ʊ w a	Дува
g e ʧ	Гэж
ɢ ɔ ɮ ə ŋ	Голын
