A	ə
FEIGHAN	f 'ej g ə n
FEIGHNER	f 'ej n ə ɹ
FEIGHT	f 'ej t
FEIGIN	f 'aj g ɪ n
FEIGN	f 'ej n
FEIGNED	f 'ej n d
FEIGNING	f 'ej n ɪ ŋ
FEIL	f 'ij l
FEILD	f 'ij l d
FEILER	f 'aj l ə ɹ
FEIMSTER	f 'aj m s t ə ɹ
FEIN	f 'aj n
FEIN(1)	f 'ej n
FEIN'S	f 'aj n z
FEIN'S(1)	f 'ej n z
FEINAUER	f 'aj n aw ə ɹ
FEINBERG	f 'aj n b ə ɹ g
FEINER	f 'aj n ə ɹ
FEINERMAN	f 'aj n ə ɹ m ə n
FEINGOLD	f 'aj ŋ g ow l d
FEINMAN	f 'aj n m ə n
FEINSTEIN	f 'aj n s t ˌaj n
FEINSTEIN(1)	f 'aj n s t ˌij n
FEINSTEIN'S	f 'aj n s t ˌaj n z
FEINSTEIN'S(1)	f 'aj n s t ˌij n z
FEINT	f 'ej n t
FEIS	f 'aj s
FEIST	f 'aj s t
FEISTER	f 'aj s t ə ɹ
FEISTY	f 'aj s t ij
FEIT	f 'aj t
FEITH	f 'aj θ
FEITH'S	f 'aj θ s
FEITZ	f 'aj t s
FEJES	f ɪ ʒ 'ij z
FEKETE	f 'ɛ k ij t
FEL	f 'ɛ l
FELA	f 'ɛ l ə
FELAN	f 'ɛ l ə n
FELBATOL	f 'ɛ l b ə t ɑ l
FELBER	f 'ɛ l b ə ɹ
FELCH	f 'ɛ l ʧ
FELD	f 'ɛ l d
FELDA	f 'ɛ l d ə
FELDBERG	f 'ɛ l d b ə ɹ g
FELDBLUM	f 'ɛ l d b l ˌuw m
FELDBLUM(1)	f 'ɛ l d b l ə m
FELDE	f 'ɛ l d
FELDENE	f ɛ l d 'ij n
FELDER	f 'ɛ l d ə ɹ
FELDERMAN	f 'ɛ l d ə ɹ m ə n
FELDHAUS	f 'ɛ l d h ˌaw s
FELDKAMP	f 'ɛ l d k ˌæ m p
FELDMAN	f 'ɛ l d m ə n
FELDMAN'S	f 'ɛ l d m ə n z
FELDMANN	f 'ɛ l d m ə n
FELDMEIER	f 'ɛ l d m aj ə ɹ
FELDMUEHLE	f 'ɛ l d m j ˌuw l ə
FELDNER	f 'ɛ l d n ə ɹ
FELDPAUSCH	f 'ɛ l d p ˌaw ʃ
FELDSPAR	f 'ɛ l d s p ˌɑ ɹ
FELDSPARS	f 'ɛ l d s p ˌɑ ɹ z
FELDSTEIN	f 'ɛ l d s t aj n
FELDSTEIN(1)	f 'ɛ l d s t ij n
FELDSTEIN'S	f 'ɛ l d s t ˌij n z
FELDSTEIN'S(1)	f 'ɛ l d s t ˌaj n z
FELDT	f 'ɛ l t
FELGENHAUER	f 'ɛ l g ɪ n h aw ə ɹ
FELGER	f 'ɛ l g ə ɹ
FELICE	f ə l 'ij s
FELICETTI	f ɛ l ij ʧ 'ɛ t ij
FELICIA	f ə l 'ij ʃ ə
FELICIA'S	f ə l 'ij ʃ ə z
FELICIANO	f ə l ij s ij 'ɑ n ow
FELICIANO(1)	f ə l ij ʃ ij 'ɑ n ow
FELICIANO'S	f ə l ij s ij 'ɑ n ow z
FELICIANO'S(1)	f ə l ij ʃ ij 'ɑ n ow z
FELICITATE	f ə l 'ɪ s ɪ t ˌej t
FELICITE	f 'ɛ l ɪ s ˌaj t
FELICITE(1)	f ɛ l 'ɪ s ə t ij
FELICITOUS	f ɪ l 'ɪ s ə t ə s
FELICITY	f ɪ l 'ɪ s ə t ij
FELIM	f 'ɛ l ə m
FELINE	f 'ij l ˌaj n
FELINES	f 'ij l ˌaj n z
FELIPE	f ə l 'ij p
FELIS	f 'ɛ l ɪ s
FELIX	f 'ij l ɪ k s
FELIX'S	f 'ij l ɪ k s ɪ z
FELIZ	f 'ɛ l ɪ z
FELKEL	f 'ɛ l k ə l
FELKER	f 'ɛ l k ə ɹ
FELKER'S	f 'ɛ l k ə ɹ z
FELKINS	f 'ɛ l k ɪ n z
FELKNER	f 'ɛ l k n ə ɹ
FELL	f 'ɛ l
FELLA	f 'ɛ l ə
FELLAND	f 'ɛ l ə n d
FELLAS	f 'ɛ l ə s
FELLATIO	f ə l 'ej ʃ ij ow
FELLED	f 'ɛ l d
FELLEISEN	f ˌɛ l 'aj s ə n
FELLENZ	f 'ɛ l ɪ n s
FELLER	f 'ɛ l ə ɹ
FELLERS	f 'ɛ l ə ɹ z
FELLHEIMER	f 'ɛ l h ˌaj m ə ɹ
FELLIN	f 'ɛ l ɪ n
FELLING	f 'ɛ l ɪ ŋ
FELLINGER	f 'ɛ l ɪ ŋ ə ɹ
FELLINI	f ə l 'ij n ij
FELLMAN	f 'ɛ l m ə n
FELLMETH	f 'ɛ l m ə θ
FELLNER	f 'ɛ l n ə ɹ
FELLOW	f 'ɛ l ow
FELLOW'S	f 'ɛ l ow z
FELLOWES	f 'ɛ l ˌow z
FELLOWS	f 'ɛ l ow z
FELLOWSHIP	f 'ɛ l ow ʃ ˌɪ p
FELLOWSHIPS	f 'ɛ l ow ʃ ˌɪ p s
FELLS	f 'ɛ l z
FELLSWAY	f 'ɛ l z w ˌej
FELMAN	f 'ɛ l m ə n
FELMLEE	f 'ɛ l m l ij
FELON	f 'ɛ l ə n
FELONIES	f 'ɛ l ə n ij z
FELONIOUS	f ɛ l 'ow n ij ə s
FELONS	f 'ɛ l ə n z
FELONY	f 'ɛ l ə n ij
FELPS	f 'ɛ l p s
FELRICE	f 'ɛ l ɹ ˌaj s
FELS	f 'ɛ l z
FELSENTHAL	f 'ɛ l z ə n θ ˌɑ l
FELSKE	f 'ɛ l s k
FELT	f 'ɛ l t
FELTEN	f 'ɛ l t ə n
FELTER	f 'ɛ l t ə ɹ
FELTES	f 'ɛ l t s
FELTLER	f 'ɛ l t l ə ɹ
FELTMAN	f 'ɛ l t m ə n
FELTNER	f 'ɛ l t n ə ɹ
FELTON	f 'ɛ l t ə n
FELTRAX	f 'ɛ l t ɹ æ k s
FELTS	f 'ɛ l t s
FELTSMAN	f 'ɛ l t s m ə n
FELTUS	f 'ɛ l t ə s
FELTY	f 'ɛ l t ij
FELTZ	f 'ɛ l t s
FELUCCA	f ɪ l 'ʌ k ə
FELVER	f 'ɛ l v ə ɹ
FEMA	f 'ij m ə
FEMALE	f 'ij m ˌej l
FEMALE'S	f 'ij m ˌej l z
FEMALES	f 'ij m ˌej l z
FEMIA	f 'ij m ij ə
FEMINA	f 'ɛ m ɪ n ə
FEMININE	f 'ɛ m ə n ə n
FEMININITY	f ˌɛ m ə n 'ɪ n ə t ij
FEMINISM	f 'ɛ m ɪ n ˌɪ z ə m
FEMINIST	f 'ɛ m ə n ɪ s t
FEMINISTS	f 'ɛ m ə n ɪ s t s
FEMME	f 'ɛ m
FEMORAL	f 'ɛ m ə ɹ ə l
FEMRITE	f 'ɛ m ɹ ˌaj t
FEMSA	f 'ɛ m s ə
FEMUR	f 'ij m ə ɹ
FEN	f 'ɛ n
FENAGLE	f ə n 'ej g ə l
FENCE	f 'ɛ n s
FENCED	f 'ɛ n s t
FENCELESS	f 'ɛ n s l ə s
FENCES	f 'ɛ n s ə z
FENCES(1)	f 'ɛ n s ɪ z
FENCING	f 'ɛ n s ɪ ŋ
FENCL	f 'ɛ ŋ k ə l
FEND	f 'ɛ n d
FENDED	f 'ɛ n d ɪ d
FENDER	f 'ɛ n d ə ɹ
FENDERS	f 'ɛ n d ə ɹ z
FENDERSON	f 'ɛ n d ə ɹ s ə n
FENDI	f 'ɛ n d ij
FENDING	f 'ɛ n d ɪ ŋ
FENDLER	f 'ɛ n d l ə ɹ
FENDLEY	f 'ɛ n d l ij
FENDRICK	f 'ɛ n d ɹ ɪ k
FENDS	f 'ɛ n d z
FENDT	f 'ɛ n t
FENECH	f 'ɛ n ɪ k
FENELLA	f ɛ n 'ɛ l ə
FENELON	f 'ɛ n ɪ l ˌɑ n
FENFLURAMINE	f ɛ n f l 'ʊ ɹ ə m ij n
FENG	f 'ɛ ŋ
FENGER	f 'ɛ ŋ ə ɹ
FENIAN	f 'ij n ij ə n
FENICHELL	f 'ɛ n ɪ ʧ ə l
FENIMORE	f 'ɛ n ɪ m ˌɔ ɹ
FENJVES	f ɛ n h 'ɛ v ɛ z
FENJVES(1)	f 'ɛ n v ɛ z
FENLEY	f 'ɛ n l ij
FENLON	f 'ɛ n l ə n
FENN	f 'ɛ n
FENNEL	f 'ɛ n ə l
FENNELL	f 'ɛ n ə l
FENNELLY	f 'ɛ n ə l ij
FENNEMA	f 'ɛ n ɪ m ə
FENNER	f 'ɛ n ə ɹ
FENNESSEY	f 'ɛ n ɪ s ij
FENNESSY	f 'ɛ n ɪ s ij
FENNEWALD	f 'ɛ n ɪ w ɔ l d
FENNEY	f 'ɛ n ij
FENNIMORE	f 'ɛ n ɪ m ˌɔ ɹ
FENNO	f 'ɛ n ow
FENOGLIO	f ɛ n 'ow g l ij ow
FENPHEN	f 'ɛ n f ɛ n
FENSKE	f 'ɛ n s k
FENSTER	f 'ɛ n s t ə ɹ
FENSTERMACHER	f 'ɛ n s t ə ɹ m ə k ə ɹ
FENSTERMAKER	f 'ɛ n s t ə ɹ m ˌej k ə ɹ
FENSTERSTOCK	f 'ɛ n s t ə ɹ s t ˌɑ k
FENT	f 'ɛ n t
FENTER	f 'ɛ n t ə ɹ
FENTON	f 'ɛ n t ə n
FENTRESS	f 'ɛ n t ɹ ɪ s
FENUGREEK	f 'ɛ n uw g ɹ ˌij k
FENWAY	f 'ɛ n w ˌej
FENWICK	f 'ɛ n w ˌɪ k
FENWOOD	f 'ɛ n w ˌʊ d
FENYVESSY	f 'ɛ n ɪ v ˌɛ s ij
FENZEL	f 'ɛ n z ə l
FEODOR	f 'ij ə d ə ɹ
FEODORA	f ij ə d 'ɔ ɹ ə
FEODOROVICH	f ij ə d 'ɔ ɹ ə v ɪ ʧ
FEOLA	f ij 'ɑ l ə
FER	f 'ɛ ɹ
FER(1)	f 'ɛ ɹ
FERA	f 'ɛ ɹ ə
FERAL	f 'ɛ ɹ ə l
FERALUZI	f ˌɛ ɹ ə l 'uw z ij
FERARRO	f ɛ ɹ 'ɑ ɹ ow
FERBER	f 'ɛ ɹ b ə ɹ
FERCH	f 'ɛ ɹ k
FERD	f 'ɛ ɹ d
FERDERER	f 'ɛ ɹ d ə ɹ ə ɹ
FERDIE	f 'ɛ ɹ d ij
FERDIG	f 'ɛ ɹ d ɪ g
FERDINAND	f 'ɛ ɹ d ɪ n ˌæ n d
FERDINAND(1)	f 'ɛ ɹ d ɪ n ˌæ n
FERDINANDA	f ə ɹ d ij n 'ɑ n d ə
FERDLOW	f 'ɛ ɹ d l ow
FERDON	f ɛ ɹ d 'ɔ n
FEREBEE	f 'ɛ ɹ ɪ b ij
FERENC	f ə ɹ 'ɛ n s
FERENCE	f 'ɪ ɹ ə n s
FERENCZ	f 'ɛ ɹ ɪ n ʧ
FERETLOW	f 'ɛ ɹ ə t l ow
FERETLOW(1)	f 'ɛ ɹ t l ow
FERG	f 'ɛ ɹ g
FERGASON	f 'ɛ ɹ g ə s ə n
FERGER	f 'ɛ ɹ g ə ɹ
FERGERSON	f 'ɛ ɹ g ə ɹ s ə n
FERGESON	f 'ɛ ɹ g ə s ə n
FERGIE	f 'ɛ ɹ g ij
FERGUS	f 'ɛ ɹ g ə s
FERGUSON	f 'ɛ ɹ g ə s ə n
FERGUSON'S	f 'ɛ ɹ g ə s ə n z
FERGUSSON	f 'ɛ ɹ g ə s ə n
FERIA	f 'ɛ ɹ ij ə
FERKO	f 'ɛ ɹ k ow
FERLAND	f 'ɛ ɹ l ə n d
FERM	f 'ɛ ɹ m
FERMAN	f 'ɛ ɹ m ə n
FERMATA	f ɛ ɹ m 'ɑ t ˌɑ
FERMENT	f ə ɹ m 'ɛ n t
FERMENT(1)	f 'ɛ ɹ m ɛ n t
FERMENTA	f ə ɹ m 'ɛ n t ə
FERMENTA(1)	f ə ɹ m 'ɛ n ə
FERMENTA'S	f ə ɹ m 'ɛ n t ə z
FERMENTA'S(1)	f ə ɹ m 'ɛ n ə z
FERMENTATION	f ˌɛ ɹ m ə n t 'ej ʃ ə n
FERMENTED	f ə ɹ m 'ɛ n t ə d
FERMENTING	f ə ɹ m 'ɛ n t ɪ ŋ
FERMENTS	f ə ɹ m 'ɛ n t s
FERMI	f 'ɛ ɹ m ij
FERMILAB	f 'ɛ ɹ m ɪ l ˌæ b
FERMIN	f 'ɛ ɹ m ɪ n
FERMIUM	f 'ɛ ɹ m ij ə m
FERMOYLE	f 'ɛ ɹ m ˌɔj l
FERN	f 'ɛ ɹ n
FERNALD	f ə ɹ n 'ɑ l d
FERNALD(1)	f ˌɛ ɹ n 'ɑ l d
FERNAND	f ə ɹ n 'æ n d
FERNAND(1)	f ə ɹ n 'ɑ n
FERNAND(2)	f ə ɹ n 'ɑ n d
FERNANDA	f ə ɹ n 'æ n d ə
FERNANDA(1)	f ə ɹ n 'ɑ n d ə
FERNANDES	f ə ɹ n 'ɑ n d ɛ s
FERNANDES(1)	f ə ɹ n 'æ n d ɛ s
FERNANDEZ	f ə ɹ n 'æ n d ɛ z
FERNANDEZ(1)	f ɛ ɹ n 'æ n d ɛ z
FERNANDEZ(2)	f ə ɹ n 'ɑ n d ɛ z
FERNANDEZ(3)	f ɛ ɹ n 'ɑ n d ɛ z
FERNANDINA	f ə ɹ n ə n d 'ij n ə
FERNANDO	f ə ɹ n 'æ n d ow
FERNANDO(1)	f ə ɹ n 'ɑ n d ow
FERNANDO'S	f ə ɹ n 'æ n d ow z
FERNANDO'S(1)	f ə ɹ n 'ɑ n d ow z
FERNAO	f ə ɹ n 'aw
FERNAU	f 'ɛ ɹ n aw
FERNBANK	f 'ɛ ɹ n b ˌæ ŋ k
FERNBERG	f 'ɛ ɹ n b ə ɹ g
FERNDALE	f 'ɛ ɹ n d ˌej l
FERNER	f 'ɛ ɹ n ə ɹ
FERNERY	f 'ɛ ɹ n ə ɹ ij
FERNHOLZ	f 'ɛ ɹ n h ow l z
FERNICOLA	f ə ɹ n ij k 'ow l ə
FERNLIKE	f 'ɛ ɹ n l ˌaj k
FERNS	f 'ɛ ɹ n z
FERNSTROM	f 'ɛ ɹ n s t ɹ ə m
FERO	f 'ɛ ɹ ow
FEROCIOUS	f ə ɹ 'ow ʃ ə s
FEROCIOUSLY	f ə ɹ 'ow ʃ ɪ s l ij
FEROCITY	f ə ɹ 'ɑ s ə t ij
FEROL	f 'ɛ ɹ ə l
FERRA	f 'ɛ ɹ ə
FERRAIOLI	f 'ɛ ɹ aj ow l ij
FERRALL	f 'ɛ ɹ ə l
FERRAN	f 'ɛ ɹ ə n
FERRAND	f 'ɛ ɹ ə n d
FERRANDINO	f ə ɹ ɑ n d 'ij n ow
FERRANDO	f ˌɛ ɹ 'æ n d ow
FERRANT	f 'ɛ ɹ ə n t
FERRANTE	f ə ɹ 'ɑ n t ij
FERRANTI	f ɛ ɹ 'æ n t ij
FERRANTI(1)	f ɛ ɹ 'æ n ij
FERRAR	f ə ɹ 'ɑ ɹ
FERRARA	f ə ɹ 'ɑ ɹ ə
FERRARI	f ə ɹ 'ɑ ɹ ij
FERRARIO	f ə ɹ 'ɑ ɹ ij ow
FERRARIS	f ə ɹ 'ɑ ɹ ɪ s
FERRARO	f ə ɹ 'ɑ ɹ ow
FERRARO'S	f ə ɹ 'ɑ ɹ ow z
FERRE	f 'ɛ ɹ
FERREBEE	f 'ɛ ɹ ɪ b ij
FERREE	f ə ɹ 'ij
FERREIRA	f ɛ ɹ 'ej ɹ ə
FERREIRO	f ɛ ɹ 'ɛ ɹ ow
FERREL	f ɛ ɹ 'ɛ l
FERRELL	f 'ɛ ɹ ɪ l
FERRELLI	f ə ɹ 'ɛ l ij
FERREN	f 'ɛ ɹ ə n
FERRENCY	f ˌɛ ɹ 'ɛ n s ij
FERRENTINO	f ə ɹ ɛ n t 'ij n ow
FERRER	f 'ɛ ɹ ə ɹ
FERRERA	f ɛ ɹ 'ɛ ɹ ə
FERRERI	f ə ɹ 'ɛ ɹ ij
FERRERO	f ɛ ɹ 'ɛ ɹ ow
FERRET	f 'ɛ ɹ ə t
FERRETED	f 'ɛ ɹ ə t ə d
FERRETED(1)	f 'ɛ ɹ ə t ɪ d
FERRETING	f 'ɛ ɹ ə t ɪ ŋ
FERRETS	f 'ɛ ɹ ə t s
FERRETTI	f ə ɹ 'ɛ t ij
FERRI	f 'ɛ ɹ ij
FERRICK	f 'ɛ ɹ ɪ k
FERRIE	f 'ɛ ɹ ij
FERRIED	f 'ɛ ɹ ij d
FERRIER	f 'ɛ ɹ ij ə ɹ
FERRIERA	f ə ɹ 'ɪ ɹ ə
FERRIERS	f 'ɛ ɹ ij ə ɹ z
FERRIES	f 'ɛ ɹ ij z
FERRIGNO	f ə ɹ 'ij g n ow
FERRILL	f ɛ ɹ 'ij l
FERRIN	f 'ɛ ɹ ɪ n
FERRINGTON	f 'ɛ ɹ ɪ ŋ t ə n
FERRINI	f ə ɹ 'ij n ij
FERRIS	f 'ɛ ɹ ɪ s
FERRISS	f 'ɛ ɹ ɪ s
FERRITE	f 'ɛ ɹ aj t
FERRITER	f 'ɛ ɹ aj t ə ɹ
FERRIZ	f 'ɛ ɹ ɪ z
FERRO	f 'ɛ ɹ ow
FERROCHROME	f 'ɛ ɹ ə k ɹ ˌow m
FERROFLUIDIC	f ˌɛ ɹ ow f l uw 'ɪ d ɪ k
FERROFLUIDICS	f ˌɛ ɹ ow f l uw 'ɪ d ɪ k s
FERROMAGNET	f ˌɛ ɹ ow m 'æ g n ə t
FERROMAGNETIC	f ˌɛ ɹ ow m ˌæ g n 'ɛ t ɪ k
FERROMAGNETISM	f ˌɛ ɹ ow m 'æ g n ə t ˌɪ z ə m
FERRON	f 'ɛ ɹ ə n
FERRONE	f ə ɹ 'ow n ij
FERRONICKEL	f ˌɛ ɹ ə n 'ɪ k ə l
FERROTYPE	f 'ɛ ɹ ə t ˌaj p
FERROUS	f 'ɛ ɹ ə s
FERRUCCI	f ə ɹ 'uw ʧ ij
FERRUZZI	f ɛ ɹ 'uw z ij
FERRUZZI'S	f ˌɛ ɹ 'uw z ij z
FERRY	f 'ɛ ɹ ij
FERRY'S	f 'ɛ ɹ ij z
FERRYBOAT	f 'ɛ ɹ ij b ˌow t
FERRYBOATS	f 'ɛ ɹ ij b ˌow t s
FERRYING	f 'ɛ ɹ ij ɪ ŋ
FERRYMAN	f 'ɛ ɹ ij m ə n
FERTIG	f 'ɛ ɹ t ɪ g
FERTILE	f 'ɛ ɹ t ə l
FERTILE(1)	f ə ɹ t 'aj l
FERTILITY	f ə ɹ t 'ɪ l ə t ij
FERTILITY(1)	f ə ɹ t 'ɪ l ɪ t ij
FERTILIZATION	f ˌɛ ɹ t ə l ɪ z 'ej ʃ ə n
FERTILIZE	f 'ɛ ɹ t ə l ˌaj z
FERTILIZED	f 'ɛ ɹ t ə l ˌaj z d
FERTILIZER	f 'ɛ ɹ t ə l ˌaj z ə ɹ
FERTILIZERS	f 'ɛ ɹ t ə l ˌaj z ə ɹ z
FERTILIZES	f 'ɛ ɹ t ə l ˌaj z ɪ z
FERTILIZING	f 'ɛ ɹ t ə l ˌaj z ɪ ŋ
FERTITTA	f ə ɹ t 'ij t ə
FERTLOW	f 'ɛ ɹ t l ow
FERULLO	f ə ɹ 'uw l ow
FERVENT	f 'ɛ ɹ v ə n t
FERVENTLY	f 'ɛ ɹ v ə n t l ij
FERVID	f 'ɛ ɹ v ə d
FERVOR	f 'ɛ ɹ v ə ɹ
FERY	f 'ɛ ɹ ij
FESCHBACH	f 'ɛ ʃ b ˌɑ k
FESCUE	f 'ɛ s k j ˌuw
FESER	f 'ij z ə ɹ
FESHBACH	f 'ɛ ʃ b ˌɑ k
FESLER	f 'ɛ s ə l ə ɹ
FESLER(1)	f 'ɛ s l ə ɹ
FESMIRE	f 'ɛ s m ˌaj ɹ
FESPERMAN	f 'ɛ s p ə ɹ m ə n
FESS	f 'ɛ s
FESSED	f 'ɛ s t
FESSEL	f 'ɛ s ə l
FESSENDEN	f 'ɛ s ə n d ə n
FESSLER	f 'ɛ s l ə ɹ
FEST	f 'ɛ s t
FESTA	f 'ɛ s t ə
FESTER	f 'ɛ s t ə ɹ
FESTERED	f 'ɛ s t ə ɹ d
FESTERING	f 'ɛ s t ə ɹ ɪ ŋ
FESTIVA	f ɛ s t 'ij v ə
FESTIVAL	f 'ɛ s t ə v ə l
FESTIVAL(1)	f 'ɛ s t ɪ v ə l
FESTIVAL'S	f 'ɛ s t ɪ v ə l z
FESTIVALS	f 'ɛ s t ə v ə l z
FESTIVALS(1)	f 'ɛ s t ɪ v ə l z
FESTIVE	f 'ɛ s t ɪ v
FESTIVITIES	f ɛ s t 'ɪ v ə t ij z
FESTIVITY	f ɛ s t 'ɪ v ə t ij
FESTOON	f ˌɛ s t 'uw n
FESTOONED	f ˌɛ s t 'uw n d
FESTS	f 'ɛ s t s
FESTSPIELHAUS	f 'ɛ s t s p 'ij l h ˌaw s
FESTUS	f 'ɛ s t ə s
FETAL	f 'ij t ə l
FETCH	f 'ɛ ʧ
FETCHED	f 'ɛ ʧ t
FETCHES	f 'ɛ ʧ ɪ z
FETCHING	f 'ɛ ʧ ɪ ŋ
FETE	f 'ej t
FETED	f 'ej t ɪ d
FETHEROLF	f 'ɛ θ ə ɹ ow l f
FETHERSTON	f 'ɛ θ ə ɹ s t ə n
FETID	f 'ɛ t ə d
FETISH	f 'ɛ t ɪ ʃ
FETISHISM	f 'ɛ t ɪ ʃ ˌɪ z ə m
FETISHIST	f 'ɛ t ɪ ʃ ɪ s t
FETISHIST(1)	f 'ɛ t ɪ ʃ ə s t
FETISHISTS	f 'ɛ t ɪ ʃ ə s t s
FETISHISTS(1)	f 'ɛ t ɪ ʃ ɪ s t s
FETNER	f 'ɛ t n ə ɹ
FETROW	f 'ɛ t ɹ ow
FETSCH	f 'ɛ ʧ
FETSKO	f 'ɛ t s k ow
FETT	f 'ɛ t
FETTE	f 'ɛ t
FETTER	f 'ɛ t ə ɹ
FETTERED	f 'ɛ t ə ɹ d
FETTERHOFF	f 'ɛ t ə ɹ h ɔ f
FETTERLY	f 'ɛ t ə ɹ l ij
FETTERMAN	f 'ɛ t ə ɹ m ə n
FETTEROLF	f 'ɛ t ə ɹ ow l f
FETTERS	f 'ɛ t ə ɹ z
FETTES	f 'ɛ t s
FETTIG	f 'ɛ t ɪ g
FETTING	f 'ɛ t ɪ ŋ
FETTUCCINE	f ˌɛ t ə ʧ 'ij n ij
FETTY	f 'ɛ t ij
FETUS	f 'ij t ə s
FETUSES	f 'ij t ə s ɪ z
FETZ	f 'ɛ t s
FETZER	f 'ɛ t s ə ɹ
FEUCHT	f 'ɔj k t
FEUD	f j 'uw d
FEUDAL	f j 'uw d ə l
FEUDALISM	f j 'uw d ə l ˌɪ z ə m
FEUDALISTIC	f j ˌuw d ə l 'ɪ s t ɪ k
FEUDED	f j 'uw d ɪ d
FEUDING	f j 'uw d ɪ ŋ
FEUDS	f j 'uw d z
FEUER	f j 'uw ə ɹ
FEUERBORN	f 'ɔj ə ɹ b ə ɹ n
FEUERMAN	f j 'uw ə ɹ m ə n
FEUERSTEIN	f j 'uw ə ɹ s t ˌij n
FEUERSTEIN(1)	f j 'uw ə ɹ s t ˌaj n
FEULNER	f 'ɔj l n ə ɹ
FEUR	f 'ɛ ɹ
FEUSTEL	f 'ɔj s t ə l
FEUTZ	f j 'uw t s
FEVER	f 'ij v ə ɹ
FEVERED	f 'ij v ə ɹ d
FEVERFEW	f 'ij v ə ɹ f j ˌuw
FEVERFEWS	f 'ij v ə ɹ f j ˌuw z
FEVERISH	f 'ij v ə ɹ ɪ ʃ
FEVERISHLY	f 'ɛ v ə ɹ ˌɪ ʃ l ij
FEVERS	f 'ij v ə ɹ z
FEW	f j 'uw
FEWELL	f 'ɛ w ɛ l
FEWER	f j 'uw ə ɹ
FEWEST	f j 'uw ə s t
FEY	f 'ej
FEYEN	f 'aj n
FEYNMAN	f 'ej n m ə n
FEZ	f 'ɛ z
FI	f 'aj
FI(1)	f 'ij
FIACCO	f ij 'ɑ k ow
FIALA	f ij 'ɑ l ə
FIALKOWSKI	f ij ə l k 'ɔ f s k ij
FIANCE	f ij 'ɑ n s ˌej
FIANCE(1)	f ˌij ˌɑ n s 'ej
FIANCEE	f ij 'æ n s ij
FIANNA	f ij 'æ n ə
FIASCO	f ij 'æ s k ow
FIASCOS	f ij 'æ s k ow z
FIAT	f 'aj æ t
FIAT'S	f 'ij ˌæ t s
FIATO	f ij 'æ t ow
FIATO(1)	f j 'æ t ow
FIBER	f 'aj b ə ɹ
FIBER'S	f 'aj b ə ɹ z
FIBERBOARD	f 'aj b ə ɹ b ˌɔ ɹ d
FIBERGLAS	f 'aj b ə ɹ g l ˌæ s
FIBERGLASS	f 'aj b ə ɹ g l ˌæ s
FIBEROPTIC	f 'aj b ə ɹ ˌɑ p t ɪ k
FIBERS	f 'aj b ə ɹ z
FIBERWEB	f 'aj b ə ɹ w ˌɛ b
FIBONACCI	f ˌɪ b ə n 'ɑ ʧ ij
FIBRE	f 'aj b ə ɹ
FIBREBOARD	f 'aj b ə ɹ b ˌɔ ɹ d
FIBRILE	f 'aj b ɹ ɪ l
FIBRILES	f 'aj b ɹ ɪ l z
FIBRILLATION	f ˌɪ b ɹ ɪ l 'ej ʃ ə n
FIBRIN	f 'aj b ɹ ə n
FIBROID	f 'aj b ɹ ɔj d
FIBROIDS	f 'aj b ɹ ɔj d z
FIBRONIC	f ɪ b ɹ 'ɑ n ɪ k
FIBRONICS	f ɪ b ɹ 'ɑ n ɪ k s
FIBROSIS	f aj b ɹ 'ow s ə s
FIBROUS	f 'aj b ɹ ə s
FIBULA	f 'ɪ b j ə l ə
FICA	f 'aj k ə
FICARRA	f ij k 'ɑ ɹ ə
FICARRA(1)	f ɪ k 'ɑ ɹ ə
FICCO	f 'ɪ k ow
FICEK	f 'ɪ s ɪ k
FICHERA	f ij k 'ɛ ɹ ə
FICHTEL	f 'ɪ ʧ t ˌɛ l
FICHTER	f 'ɪ k t ə ɹ
FICHTNER	f 'ɪ k t n ə ɹ
FICHUS	f 'ɪ ʧ ə s
FICIALS	f 'ɪ ʃ ə l z
FICK	f 'ɪ k
FICKE	f 'ɪ k
FICKEL	f 'ɪ k ə l
FICKEN	f 'ɪ k ə n
FICKER	f 'ɪ k ə ɹ
FICKES	f 'ɪ k s
FICKETT	f 'ɪ k ɪ t
FICKLE	f 'ɪ k ə l
FICKLENESS	f 'ɪ k ə l n ə s
FICKLIN	f 'ɪ k l ɪ n
FICKLING	f 'ɪ k l ɪ ŋ
FICO	f 'ij k ow
FICOM	f 'ɪ k ɑ m
FICORCA	f ɪ k 'ɔ ɹ k ə
FICTION	f 'ɪ k ʃ ə n
FICTIONAL	f 'ɪ k ʃ ə n ə l
FICTIONALIZE	f 'ɪ k ʃ ə n ə l ˌaj z
FICTIONALIZED	f 'ɪ k ʃ ə n ə l ˌaj z d
FICTIONS	f 'ɪ k ʃ ə n z
FICTITIOUS	f ɪ k t 'ɪ ʃ ə s
FIDALGO	f ij d 'ɑ l g ow
FIDATA	f ɪ d 'ɑ t ə
FIDDER	f 'ɪ d ə ɹ
FIDDLE	f 'ɪ d ə l
FIDDLED	f 'ɪ d ə l d
FIDDLER	f 'ɪ d ə l ə ɹ
FIDDLER(1)	f 'ɪ d l ə ɹ
FIDDLER'S	f 'ɪ d ə l ə ɹ z
FIDDLER'S(1)	f 'ɪ d l ə ɹ z
FIDDLERS	f 'ɪ d ə l ə ɹ z
FIDDLERS(1)	f 'ɪ d l ə ɹ z
FIDDLES	f 'ɪ d ə l z
FIDDLING	f 'ɪ d l ɪ ŋ
